緯度,経度,住所,名称,カテゴリ,対象年齢,診療内容,電話番号
35.872421,139.647339,埼玉県さいたま市浦和区北浦和１－１－７　北原ビル２階、５階,かせ心のクリニック ［精神科］ ［心療内科］,クリニック（精神科・心療内科）,18歳以上,診断・知能検査・投薬・親カウンセリング,０４８－８１３－０７０７
35.871418,139.645538,埼玉県さいたま市浦和区北浦和４－２－５　サクラレジデンス北浦和２Ｆ,言の葉こころクリニック ［精神科］ ［心療内科］ ［児童精神科］,クリニック（児童精神科）,小学生・中学生・高校生・18歳以上,診断・心理療法・投薬,０４８－７１１－２０８１
35.871815,139.64476,埼玉県さいたま市浦和区北浦和４－３－１０　若松家ビル３F,イサオクリニック ［精神科］,クリニック（精神科・心療内科）,高校生・18歳以上,診断・知能検査・投薬・デイケア,０４８－８３４－０１７７
35.858921,139.653809,埼玉県さいたま市浦和区高砂２－１２－１２　あづまビル３Ｆ,松田メンタルクリニック ［精神科］ ［心療内科］ ［内科］,クリニック（精神科・心療内科）,高校生・18歳以上,診断・心理療法・投薬,０４８－８２３－９３３１
35.857067,139.652328,埼玉県さいたま市浦和区高砂３－２－１０　草野高砂ビル６Ｆ,メンタルヘルス田井クリニック ［精神科］,クリニック（精神科・心療内科）,18歳以上,診断,０４８－８１６－５５２１
35.859356,139.658737,埼玉県さいたま市浦和区東仲町２５－２９　太陽堂ビル３階,謙愛クリニック ［精神科］ ［心療内科］,クリニック（精神科・心療内科）,,診断・投薬,０４８－８１１－１２２０
35.886269,139.642975,埼玉県さいたま市浦和区上木崎４－２－２５,白峰クリニック ［精神科］ ［心療内科］,クリニック（精神科・心療内科）,高校生・18歳以上,診断・知能検査・作業療法・心理療法・投薬・親カウンセリング・デイケア,０４８－８３１－００１２
35.859856,139.655594,埼玉県さいたま市浦和区仲町１－２－１２　関根ビル４Ｆ,坂井メンタルクリニック ［精神科］ ［心療内科］,クリニック（精神科・心療内科）,18歳以上,診断・投薬,０４８－８２４－７３０２
35.857727,139.658783,埼玉県さいたま市浦和区東高砂町９－１ SUMIDA ONE 本館３Ｆ,小原クリニック ［精神科］,クリニック（精神科・心療内科）,高校生・18歳以上,診断・知能検査・心理療法・投薬・親カウンセリング,０４８－８８３－５８６０
35.858658,139.655136,埼玉県さいたま市浦和区高砂１－１３－２　ヤママンビル３階,小川クリニック ［心療内科］,クリニック（精神科・心療内科）,18歳以上,診断・心理療法・投薬,０４８－８３４－５５２５
35.906654,139.627472,埼玉県さいたま市大宮区大門町２丁目９４　福呂屋ビル４階,すなおクリニック ［精神科］ ［心療内科］ ［内科］,クリニック（精神科・心療内科）,高校生・18歳以上,診断・知能検査・心理療法・投薬,０４８－７８３－５６０７
35.909988,139.62941,埼玉県さいたま市大宮区高鼻町１－３１－１　ＴＯＰＳ大宮ビル６Ｆ,渡辺メンタルクリニック ［精神科］,クリニック（精神科・心療内科）,18歳以上,診断・知能検査・心理療法・投薬・親カウンセリング,０４８－６４７－２３７２
35.895111,139.63324,埼玉県さいたま市大宮区吉敷町４－２６２－１０　松井ビル５階,ふせき心療クリニック ［精神科］ ［心療内科］ ［児童精神科］,クリニック（児童精神科）,小学生・中学生・高校生・18歳以上,診断・知能検査・心理療法・投薬・親カウンセリング,０４８－６５０－１１１７
35.903652,139.622116,埼玉県さいたま市大宮区桜木町１－１９７　蓜島ビル４F,大宮駅前ひるまこころクリニック ［精神科］ ［心療内科］,クリニック（精神科・心療内科）,高校生・18歳以上,診断・知能検査・投薬・デイケア,０４８－７８８－３７５７
35.904213,139.622955,埼玉県さいたま市大宮区桜木町１－１９３－１　大宮ＹＯＫＯビル５Ｆ,大宮こころの診療所 ［精神科］ ［心療内科］,クリニック（精神科・心療内科）,高校生・18歳以上,診断・知能検査・心理療法・投薬・親カウンセリング,０４８－６４１－０２２２
35.906071,139.621536,埼玉県さいたま市大宮区桜木町２－２－１３　第２ユニオンビルディング４階,大宮西口メンタルクリニック ［精神科］ ［心療内科］ ［神経科］,クリニック（精神科・心療内科）,小学生・中学生・高校生・18歳以上,診断・投薬,０４８－６３１－１０６０
35.908134,139.620728,埼玉県さいたま市大宮区桜木町２－８－４　山下ビル３Ｆ,大宮さくらクリニック ［精神科］,クリニック（精神科・心療内科）,18歳以上,診断・知能検査・心理療法・投薬,０４８－８５６－９２７８
35.906788,139.626007,埼玉県さいたま市大宮区大門町１－１８－２　ライズＢＬＤ３階,ハレこころのクリニック大宮 ［心療内科］ ［精神科］,クリニック（精神科・心療内科）,中学生・高校生・18歳以上,診断・知能検査・心理療法・投薬・親カウンセリング,０４８－８５６－９８２３
35.905598,139.627747,埼玉県さいたま市大宮区仲町２－２３－３　大宮仲町センタービル１Ｆ,児玉クリニック ［心療内科］ ［精神科］,クリニック（精神科・心療内科）,高校生・18歳以上,診断,０４８－７８３－３３０２
35.907913,139.624664,埼玉県さいたま市大宮区宮町１－５　大宮銀座ビル３Ｆ,大宮心療内科ゆうメンタルクリニック大宮院 ［精神科］,クリニック（精神科・心療内科）,中学生・高校生・18歳以上,診断・知能検査・心理療法・投薬,０４８－６４１－０１１１
35.908817,139.626968,埼玉県さいたま市大宮区宮町２－１０　シンテイ大宮ビル６階,こもれびメンタルクリニック大宮 ［心療内科］ ［精神科］,クリニック（精神科・心療内科）,中学生・高校生・18歳以上,診断・知能検査・心理療法・投薬・親カウンセリング,０４８－７２９－６３６５
35.906147,139.620483,埼玉県さいたま市大宮区桜木町２－１９４　YSビル２F,医療法人社団双峰会　大宮むさしのクリニック 〔心療内科〕 〔精神科〕,クリニック（精神科・心療内科）,18歳以上,診断・知能検査・心理療法・投薬,０４８－７７９－８００５
35.934238,139.630157,埼玉県さいたま市北区土呂町１－３３－６,土呂メンタルクリニック ［精神科］,クリニック（精神科・心療内科）,中学生・高校生・18歳以上,診断・知能検査・心理療法・投薬,０４８－７８２－５８１０
35.929298,139.634354,埼玉県さいたま市北区土呂町２－２３－６,医療法人緑潤会　小池内科クリニック ［小児科］,クリニック（小児科）,幼児・小学生・中学生・高校生・18歳以上,投薬,０４８－６６２－８６００
35.927063,139.620621,埼玉県さいたま市北区東大成町２－２５１,大宮すずのきクリニック ［精神科］ ［心療内科］,クリニック（精神科・心療内科）,高校生・18歳以上,診断・知能検査・投薬・デイケア,０４８－６６１－７８８５
35.932766,139.619705,埼玉県さいたま市北区宮原町１丁目８５１番地,独立行政法人地域医療機能推進機構さいたま北部医療センター ［小児科］,病院,幼児・小学生・中学生,診断・知能検査・心理療法・投薬・親カウンセリング,０４８－６６３－１６７１
35.940853,139.610657,埼玉県さいたま市北区宮原町３－３７２－２　ファーレマツザワヤ２Ｆ,宮原メンタルクリニック ［精神科］,クリニック（精神科・心療内科）,18歳以上,診断・投薬,０４８－６６１－９１９９
35.957394,139.601227,埼玉県さいたま市北区吉野町２－１８９－３,医療法人社団彩悠会吉野町ファミリークリニック ［小児科］,クリニック（小児科）,幼児・小学生・中学生,診断・投薬,０４８－７８３－３７９８
35.863155,139.619568,埼玉県さいたま市桜区中島４－５－２５,イケダ医院 ［精神科］,クリニック（精神科・心療内科）,高校生・18歳以上,診断・心理療法・投薬,０４８－８５２－２１７６
35.843033,139.631317,埼玉県さいたま市桜区田島２－１６－２,さいたま市療育センターさくら草 ［精神科］ ［小児科］,療育センター,幼児・小学生,診断・知能検査・言語療法・作業療法・心理療法・投薬,０４８－７１０－５８１１
35.838264,139.625824,埼玉県さいたま市桜区田島７－１７－２１,浦和すずのきクリニック ［精神科］ ［心療内科］ ［神経科］ ［神経内科］,クリニック（精神科・心療内科）,高校生,投薬・デイケア,０４８－８４５－５５６６
35.8941,139.618057,埼玉県さいたま市中央区本町東６－１１－１,社会福祉法人シナプス　埼玉精神神経センター ［精神科］,クリニック（精神科・心療内科）,中学生・高校生・18歳以上,診断・知能検査・投薬・デイケア,０４８－８５７－６８１１
35.891815,139.632233,埼玉県さいたま市中央区新都心１－２,埼玉県立小児医療センター ［発達外来］,病院,幼児,診断・知能検査・言語療法・作業療法・心理療法・投薬,０４８－６０１－２２００
35.891815,139.632233,埼玉県さいたま市中央区新都心１－２,埼玉県立小児医療センター ［精神保健外来］,病院,幼児・小学生,診断・知能検査・言語療法・作業療法・心理療法・投薬,０４８－６０１－２２００
35.891712,139.630173,埼玉県さいたま市中央区新都心４－８　新都心ファーストビル３階,医療法人社団水府会　かわかみ心療クリニック ［精神科］ ［児童思春期精神科］,クリニック（児童精神科）,小学生・中学生・高校生・18歳以上,診断・知能検査・心理療法・投薬・親カウンセリング,０４８－６００－５５５５
35.920925,139.590118,埼玉県さいたま市西区三橋６－１５８７,さいたま市総合療育センターひまわり学園 ［精神科］ ［小児科］,療育センター,幼児・小学生,診断・知能検査・言語療法・作業療法・心理療法・投薬,０４８－６２２－１２１８
35.882214,139.561874,埼玉県さいたま市西区塚本町１－１－１,社会福祉法人埼玉福祉事業協会　杉の子くりにっく ［精神科］,クリニック（精神科・心療内科）,高校生・18歳以上,投薬・親カウンセリング,０４８－８５６－９３５８
35.950974,139.697037,埼玉県さいたま市岩槻区本町３－１６－２－１　MMビル2F,メンタルクリニック美波 ［精神科］,クリニック（精神科・心療内科）,中学生・高校生・18歳以上,診断・知能検査・心理療法・投薬・親カウンセリング,０４８－７４９－８３７３
35.94384,139.710403,埼玉県さいたま市岩槻区府内１－８－１,療育センターひなぎく ［小児科］,療育センター,幼児・小学生,診断・知能検査・言語療法・作業療法・心理療法・投薬,０４８－７９６－７０１３
35.968426,139.6548,埼玉県さいたま市岩槻区馬込２１００,医療型障害児入所施設カリヨンの杜 ［小児科］,クリニック（小児科）,,,０４８－７９７－６９１５
35.951149,139.694092,埼玉県さいたま市岩槻区西町1丁目7番29号,医療法人片山会かたやまクリニック岩槻院 ［精神科］,クリニック（精神科・心療内科）,中学生・高校生・18歳以上,診断・知能検査・心理療法・投薬,０４８－８８４－９１８１
35.914581,139.564407,埼玉県さいたま市西区西遊馬１２６０－１,湯澤医院 ［精神科］ ［心療内科］,クリニック（精神科・心療内科）,幼児・小学生・中学生・高校生・18歳以上,診断・知能検査・心理療法・投薬・親カウンセリング,０４８－６２４－３９７４
35.881889,139.598175,埼玉県さいたま市西区島根２９９－１,さいたま市民医療センター ［小児科］,病院,幼児・小学生・中学生,診断・知能検査・投薬・親カウンセリング,０４８－６２６－００１１
35.894043,139.732544,埼玉県さいたま市緑区美園五丁目４３番地１５,かたやまクリニック ［精神科］ ［心療内科］,クリニック（精神科・心療内科）,幼児・小学生・中学生・高校生・18歳以上,診断・知能検査・心理療法・投薬・親カウンセリング・デイケア,０４８－７１１－１６７１
35.868923,139.70462,埼玉県さいたま市緑区東浦和５－１８－２２　石崎ビル２０１,だるまさんクリニック ［精神科］,クリニック（精神科・心療内科）,高校生・18歳以上,診断・知能検査・心理療法・投薬・親カウンセリング,０４８－７８９－６７２６
35.86726,139.681702,埼玉県さいたま市緑区中尾2659ー１３　３F,めざわこどもクリニック ［小児科］,クリニック（小児科）,幼児・小学生,投薬,０４８－８７６－５３００
35.850189,139.668015,埼玉県さいたま市南区南浦和１－３３－１５　２F,たんぽぽ子どもクリニック [小児科],クリニック（小児科）,幼児・小学生,診断,０４８－７６２－８０６６
35.846592,139.642471,埼玉県さいたま市南区別所７－１９－２７,浦和別所メンタルクリニック ［精神科］ ［心療内科］,クリニック（精神科・心療内科）,幼児・小学生・中学生・高校生・18歳以上,診断・投薬,０４８－８３６－３３３３
35.845951,139.648346,埼玉県さいたま市南区別所７－６－８　ライブタワー武蔵浦和２０１,武蔵浦和メンタルクリニック ［精神科］,クリニック（精神科・心療内科）,高校生・18歳以上,診断・投薬,０４８－７１０－５０５０
35.848827,139.670685,埼玉県さいたま市南区南浦和２－２７－１２　アビアント３Ｆ,一般社団法人　南浦和つながりクリニック ［心療内科］ ［精神科］,クリニック（精神科・心療内科）,幼児・小学生・中学生・高校生・18歳以上,診断・知能検査・心理療法・投薬・親カウンセリング,０４８－８８３－４５９１
35.846985,139.670593,埼玉県さいたま市南区南浦和２－３８－７　富士見ビル２Ｆ,南浦和東口心療クリニック ［精神科］ ［心療内科］,クリニック（精神科・心療内科）,小学生・中学生・高校生・18歳以上,診断・投薬,０４８－７６７－４５５６
35.847492,139.668503,埼玉県さいたま市南区南本町２－１－２　プラザマツヤビル３階３０３号,南浦和駅前町田クリニック ［精神科］ ［心療内科］,クリニック（精神科・心療内科）,小学生・中学生・高校生・18歳以上,診断・知能検査・心理療法・投薬・デイケア,０４８－７６４－９７９７
35.862789,139.687363,埼玉県さいたま市南区広ヶ谷戸３０１－１,医療法人白翔会　浦和神経サナトリウム ［精神科］,病院,中学生・高校生・18歳以上,診断・投薬・親カウンセリング,０４８－８７３－３１１５
35.829094,139.660156,埼玉県さいたま市南区辻８－２３－１４,北戸田駅前まつもとクリニック ［精神科］,クリニック（精神科・心療内科）,高校生・18歳以上,診断・知能検査・心理療法・投薬・親カウンセリング・デイケア,０４８－８３９－５００５
35.949329,139.639999,埼玉県さいたま市見沼区東大宮４－１８－８　新井ビル３Ｆ,東大宮メンタルクリニック ［精神科］ ［心療内科］,クリニック（精神科・心療内科）,中学生・高校生・18歳以上,診断・知能検査・心理療法・投薬・親カウンセリング,０４８－６６２－７２１０
35.898155,139.696671,埼玉県さいたま市見沼区片柳１,医療法人社団輔仁会　大宮厚生病院 ［精神科］,病院,高校生・18歳以上,診断・投薬,０５７０－０５０－０３８
