緯度,経度,名称,住所,区,種別,電話番号,定員,保育時間,対象
35.88750101,139.5958357,明日香保育園,埼玉県さいたま市西区植田谷本316,西区,認可保育所,048-622-5586,110,7:30～19:30,57日～5歳
35.93312842,139.5951411,まみ保育園,埼玉県さいたま市西区内野本郷383-8,西区,認可保育所,048-673-0330,50,7:00～19:00,6か月～5歳
35.92667664,139.5678942,おうぎの森保育園,埼玉県さいたま市西区高木598,西区,認可保育所,048-625-7272,110,7:00～19:30,57日～5歳
35.92411086,139.5854195,あおぞら西保育園,埼玉県さいたま市西区宮前町695-2,西区,認可保育所,048-783-3755,90,7:30～19:30,6か月～5歳
35.90920351,139.5682417,西遊馬保育園,埼玉県さいたま市西区西遊馬771-11,西区,認可保育所,048-620-7879,90,7:15～19:15,57日～5歳
35.91414359,139.5927369,未来ほしの子保育園,埼玉県さいたま市西区三橋5-35,西区,認可保育所,048-625-2222,120,7:00～19:00,57日～5歳
35.92296101,139.5804131,西大宮どんぐり保育園,埼玉県さいたま市西区西大宮1-1-3,西区,認可保育所,048-783-3361,90,7:10～19:10,57日～5歳
35.91064025,139.5933527,野の花すみれ保育園,埼玉県さいたま市西区三橋5-641-3,西区,認可保育所,048-782-4386,40,7:00～19:00,120日～2歳
35.92816252,139.5804273,西大宮青藍保育園,埼玉県さいたま市西区西大宮3-25-5,西区,認可保育所,048-729-6726,80,7:00～19:00,57日～5歳
35.92390183,139.5726575,めいあい保育園,埼玉県さいたま市西区西大宮1-46-12,西区,認可保育所,048-729-7833,100,7:30～19:30,57日～5歳
35.93184294,139.5826109,アカツキ保育園,埼玉県さいたま市西区西大宮4-1-4,西区,認可保育所,048-657-8148,70,7:30～19:30,6か月～5歳
35.91696028,139.5914167,えがお三橋保育園,埼玉県さいたま市西区三橋6-654-2,西区,認可保育所,048-783-2480,100,7:00～19:00,6か月～5歳
35.92585173,139.5959558,くれよん保育園虹,埼玉県さいたま市西区宮前町1238,西区,認可保育所,048-778-9752,71,7:30～19:00,43日～5歳
35.92462,139.57668,西大宮はばたき保育園,埼玉県さいたま市西区西大宮3-9-3,西区,認可保育所,048-621-4350,80,7:00～19:00,57日～5歳
35.92671,139.58029,明日香西大宮保育園,埼玉県さいたま市西区西大宮3-19-6,西区,認可保育所,048-729-8456,60,7:30～19:30,57日～5歳
35.93085,139.58069,西大宮まりーな保育園,埼玉県さいたま市西区西大宮3-61-7,西区,認可保育所,048-621-3050,96,7:00～19:00,6か月～5歳
35.91521871,139.5803867,指扇はっぴー保育園,埼玉県さいたま市西区指扇1379-1,西区,認可保育所,048-623-0881,80,7:30～19:00,6か月～5歳
35.917522,139.561546,リトル百音保育園,埼玉県さいたま市西区宝来2196-8,西区,認可保育所,048-620-3351,75,7:30～19:30,57日～5歳
35.92451,139.576868,西大宮はっぴー保育園,埼玉県さいたま市西区西大宮3-9-2,西区,認可保育所,048-622-1881,80,7:30～19:00,6か月～5歳
35.926009,139.575232,保育園ハニーガーデン西大宮,埼玉県さいたま市西区西大宮2-2-2,西区,認可保育所,048-620-3232,90,7:30～19:00,57日～5歳
35.91516,139.584767,大宮三橋はばたき保育園,埼玉県さいたま市西区三橋6-1239-1,西区,認可保育所,048-658-9317,60,7:00～19:00,57日～5歳
35.93065784,139.6292724,ルアナ保育園土呂,埼玉県さいたま市北区土呂町1-9-1,北区,認可保育所,048-652-7700,77,7:00～19:00,57日～5歳
35.9579,139.59341,大宮さくら保育園,埼玉県さいたま市北区別所町98-6,北区,認可保育所,048-664-5054,60,7:30～19:30,1歳～5歳
35.94321,139.63049,本郷保育園,埼玉県さいたま市北区本郷町1328-1,北区,認可保育所,048-652-3440,110,7:00～19:30,57日～5歳
35.93042648,139.6329192,大宮つぼみ保育園,埼玉県さいたま市北区土呂町2-9-19,北区,認可保育所,048-668-5203,60,7:00～19:00,43日～5歳
35.94154,139.61447,ハーモニー保育園,埼玉県さいたま市北区宮原町2-39-16,北区,認可保育所,048-667-8655,45,7:00～18:30,6か月～5歳
35.94838716,139.618852,今羽保育園,埼玉県さいたま市北区吉野町1-19-1,北区,認可保育所,048-661-6011,60,7:00～19:30,57日～5歳
35.93688,139.61644,にじいろ保育園,埼玉県さいたま市北区宮原町1-475-7,北区,認可保育所,048-652-5400,90,7:30～20:30,57日～5歳
35.93217,139.60046,けやきの森保育園,埼玉県さいたま市北区日進町2-1519-1,北区,認可保育所,048-661-6525,90,7:30～19:30,43日～5歳
35.93801541,139.6039331,くすのき保育園,埼玉県さいたま市北区日進町3-543-3,北区,認可保育所,048-796-4901,60,7:30～19:30,57日～5歳
35.93843444,139.6261961,遊美保育園,埼玉県さいたま市北区本郷町106,北区,認可保育所,048-654-8714,80,7:30～19:30,57日～5歳
35.93671764,139.6197192,大宮むさしの保育園,埼玉県さいたま市北区宮原町1-430,北区,認可保育所,048-664-6659,83,7:30～19:30,90日～5歳
35.93242,139.60689,うぃず日進駅前保育園,埼玉県さいたま市北区日進町2-1859-1,北区,認可保育所,048-871-8457,110,7:00～19:30,57日～5歳
35.93349006,139.6318433,ゆうりん保育園,埼玉県さいたま市北区土呂町1-28-1,北区,認可保育所,048-699-0180,86,7:30～20:00,1歳～5歳
35.93725,139.61067,にじの星保育園,埼玉県さいたま市北区宮原町3-209-2,北区,認可保育所,048-871-6687,60,7:15～20:15,1歳～5歳
35.94813251,139.6098027,えがお保育園,埼玉県さいたま市北区宮原町4-83-5,北区,認可保育所,048-782-5500,90,7:00～19:00,5か月～5歳
35.93288,139.60855,大宮日進さくらんぼ保育園,埼玉県さいたま市北区日進町2-1914-7,北区,認可保育所,048-788-2820,90,7:00～20:00,90日～5歳
35.9432999,139.6091974,あい音保育園,埼玉県さいたま市北区宮原町4-3-9,北区,認可保育所,048-729-5831,90,7:15～19:15,6か月～5歳
35.93645,139.63115,大宮たんぽぽ保育園,埼玉県さいたま市北区土呂町1-46-1,北区,認可保育所,048-729-8788,90,7:15～19:15,57日～5歳
35.93068594,139.6304752,ゆうりん保育園分園,埼玉県さいたま市北区土呂町1-7-8,北区,認可保育所,048-699-2202,30,7:30～20:00,90日～3歳
35.91874,139.62411,東大成ひなた保育園,埼玉県さいたま市北区東大成町1-656-1,北区,認可保育所,048-729-6308,60,7:30～19:30,57日～5歳
35.93253902,139.6061002,うぐす保育園日進,埼玉県さいたま市北区日進町2-1746-3,北区,認可保育所,048-661-0880,60,7:30～19:30,57日～5歳
35.93294225,139.6277606,大宮みちのこ保育園,埼玉県さいたま市北区植竹町2-69-6,北区,認可保育所,048-788-1878,80,7:00～20:00,57日～5歳
35.93708,139.61896,まーぶる保育園,埼玉県さいたま市北区宮原町1-533-3,北区,認可保育所,048-778-8360,80,7:00～19:00,6か月～5歳
35.9473,139.60719,まーぶるゆうゆう保育園,埼玉県さいたま市北区宮原町4-94-3,北区,認可保育所,048-729-8730,90,7:00～19:00,6か月～5歳
35.95051043,139.6253684,こんばの森保育園,埼玉県さいたま市北区今羽町650-3,北区,認可保育所,048-782-7156,96,7:00～20:00,57日～5歳
35.92436364,139.6128356,みずほ保育園大宮大成,埼玉県さいたま市北区大成町4-453-2,北区,認可保育所,048-652-3240,50,7:00～19:00,57日～5歳
35.93707669,139.6070034,宮原西口クマさん保育所,埼玉県さいたま市北区日進町3-150,北区,認可保育所,048-662-8585,90,7:00～19:00,57日～5歳
35.93114752,139.6326722,とろポポロ保育園,埼玉県さいたま市北区土呂町2-9-10,北区,認可保育所,048-669-5210,45,7:00～20:00,57日～5歳
35.926419,139.628537,土呂クマさん保育所,埼玉県さいたま市北区盆栽町380-1,北区,認可保育所,048-662-0288,90,7:00～19:00,57日～5歳
35.90588,139.63971,白菊保育園,埼玉県さいたま市大宮区天沼町1-148-1,大宮区,認可保育所,048-643-0880,120,7:00～19:00,57日～5歳
35.91601601,139.6379637,もとの木保育園,埼玉県さいたま市大宮区堀の内町3-236-2,大宮区,認可保育所,048-650-0202,60,7:00～19:00,43日～5歳
35.89615658,139.6198325,桜花保育園,埼玉県さいたま市大宮区桜木町4-554-1,大宮区,認可保育所,048-782-8286,100,7:30～19:30,60日～5歳
35.91088,139.60823,らそ保育園,埼玉県さいたま市大宮区櫛引町1-574,大宮区,認可保育所,048-666-4149,80,7:30～19:30,1歳～5歳
35.90340834,139.6225161,あおぞらウィンクルム保育園,埼玉県さいたま市大宮区桜木町1-185-2のびのびプラザ大宮2階,大宮区,認可保育所,048-782-8716,90,7:00～20:00,6か月～5歳
35.90949,139.63789,太陽の子堀の内保育園,埼玉県さいたま市大宮区堀の内町1-178-1,大宮区,認可保育所,048-650-6611,70,7:30～20:00,57日～5歳
35.91492,139.61578,大成たいよう保育園,埼玉県さいたま市大宮区大成町2-161-1,大宮区,認可保育所,048-778-8615,80,7:30～19:30,43日～5歳
35.90916487,139.641843,みずほ保育園大宮天沼,埼玉県さいたま市大宮区天沼町1-505-2,大宮区,認可保育所,048-658-3240,60,7:30～19:30,43日～5歳
35.89710592,139.6326388,大宮すこやか保育園,埼玉県さいたま市大宮区吉敷町4-197-2,大宮区,認可保育所,048-640-1171,80,7:00～20:00,57日～5歳
35.89264104,139.645395,新都心ひなた保育園,埼玉県さいたま市大宮区北袋町2-343,大宮区,認可保育所,048-871-5881,90,7:30～19:30,57日～5歳
35.89623659,139.6200498,桜花第二保育園,埼玉県さいたま市大宮区桜木町4-570-1,大宮区,認可保育所,048-782-5963,90,7:30～19:30,6か月～5歳
35.92065349,139.617085,保育園ミルキーウェイ大成園,埼玉県さいたま市大宮区大成町3-280,大宮区,認可保育所,048-667-2340,60,7:15～20:15,57日～5歳
35.90356,139.61516,大宮西口ひなた保育園,埼玉県さいたま市大宮区桜木町4-928-1,大宮区,認可保育所,048-644-9227,90,7:30～19:30,57日～5歳
35.89852,139.61488,大宮ひなた保育園,埼玉県さいたま市大宮区上小町1146-2,大宮区,認可保育所,048-643-8004,120,7:30～19:30,57日～5歳
35.90571453,139.634428,ゆりかご保育園,埼玉県さいたま市大宮区東町1-222-1,大宮区,認可保育所,048-782-7420,67,7:00～19:00,57日～5歳
35.908872,139.641838,みずほ保育園天沼第２,埼玉県さいたま市大宮区天沼町1-504-3,大宮区,認可保育所,048-643-3240,90,7:30～19:30,57日～5歳
35.895053,139.639411,レインボーkids新都心,埼玉県さいたま市大宮区北袋町1-124-2,大宮区,認可保育所,048-658-9058,67,7:30～19:30,4か月～5歳
35.900159,139.629155,保育園ハニーガーデンさいたま新都心,埼玉県さいたま市大宮区吉敷町2-51-1,大宮区,認可保育所,048-641-4113,47,7:30～19:00,1歳～5歳
35.90340834,139.6225161,あおぞらウィンクルム保育園第２,埼玉県さいたま市大宮区桜木町1-185-2のびのびプラザ大宮1階,大宮区,認可保育所,048-871-6177,40,7:00～19:00,1歳～2歳
35.90033,139.635168,memorytree大宮保育園,埼玉県さいたま市大宮区吉敷町3-156,大宮区,認可保育所,048-650-5055,50,7:30～19:30,57日～5歳
35.896286,139.638636,彩の調保育園さいたま新都心東口,埼玉県さいたま市大宮区天沼町2-509-12,大宮区,認可保育所,048-644-3780,93,7:30～19:30,6か月～5歳
35.902236,139.6363,親愛大宮保育園,埼玉県さいたま市大宮区浅間町2-262-4,大宮区,認可保育所,048-776-9902,87,7:30～19:30,120日～5歳
35.90674673,139.6190289,大宮たいよう保育園,埼玉県さいたま市大宮区桜木町2-902,大宮区,認可保育所,048-641-0201,60,7:30～19:30,43日～5歳
35.91204609,139.6557813,あすなろ保育園,埼玉県さいたま市見沼区南中野582,見沼区,認可保育所,048-684-6132,110,7:30～19:30,57日～5歳
35.90972096,139.6868827,やまばと保育園,埼玉県さいたま市見沼区染谷2-203-1,見沼区,認可保育所,048-685-0846,60,7:30～19:30,57日～5歳
35.94719757,139.6423286,ふたば保育園,埼玉県さいたま市見沼区東大宮5-26-11,見沼区,認可保育所,048-685-7431,60,7:00～19:00,3か月～5歳
35.93020723,139.6479227,見沼あかね保育園,埼玉県さいたま市見沼区大和田町2-1218-9,見沼区,認可保育所,048-688-1110,60,7:00～19:00,3歳～5歳
35.91725474,139.6575695,ルミエール保育園,埼玉県さいたま市見沼区南中丸939-5,見沼区,認可保育所,048-683-1216,60,7:30～19:30,54日～5歳
35.95584,139.6618,アーバンみらい東大宮プライムキッズガーデン保育所,埼玉県さいたま市見沼区春野2-5-1,見沼区,認可保育所,048-682-7700,120,7:00～20:00,60日～5歳
35.94709864,139.6374236,アスク東大宮保育園,埼玉県さいたま市見沼区東大宮2-23-3,見沼区,認可保育所,048-661-5218,90,7:00～20:00,57日～5歳
35.92879517,139.6488012,まきば保育園,埼玉県さいたま市見沼区大和田町1-1343-1,見沼区,認可保育所,048-682-0002,60,7:30～19:30,43日～5歳
35.93648998,139.6693867,風渡野保育園,埼玉県さいたま市見沼区風渡野1-10-7,見沼区,認可保育所,048-682-2550,90,7:30～19:30,56日～5歳
35.94014,139.64584,ふたば夢保育園,埼玉県さいたま市見沼区東大宮7-70-11,見沼区,認可保育所,048-812-4126,90,7:00～19:00,3か月～5歳
35.91486268,139.6510787,きらめき保育園,埼玉県さいたま市見沼区南中野689-1,見沼区,認可保育所,048-682-5507,100,7:30～19:30,57日～5歳
35.93286,139.65247,大宮みぬま保育園,埼玉県さいたま市見沼区大和田町2-1633-1,見沼区,認可保育所,048-684-6568,100,7:30～19:30,90日～5歳
35.92142,139.66058,蓮沼保育園,埼玉県さいたま市見沼区蓮沼100-1,見沼区,認可保育所,048-699-1641,90,7:30～19:30,6か月～5歳
35.91262954,139.6556012,あすなろ若葉保育園,埼玉県さいたま市見沼区南中野605,見沼区,認可保育所,048-680-5335,90,7:30～19:30,57日～5歳
35.94728802,139.646386,きらら園,埼玉県さいたま市見沼区東大宮7-7-9,見沼区,認可保育所,048-682-0120,50,7:00～20:00,57日～5歳
35.93042,139.64844,見沼あかね保育園分園,埼玉県さいたま市見沼区大和田町2-1219-1,見沼区,認可保育所,048-688-2220,40,7:00～19:00,3か月～2歳
35.94890846,139.6383679,こどものしろ保育園,埼玉県さいたま市見沼区東大宮4-9-8,見沼区,認可保育所,048-767-7672,60,7:00～20:00,57日～5歳
35.92216,139.66118,はすぬま第二保育園,埼玉県さいたま市見沼区蓮沼1786-1,見沼区,認可保育所,048-715-1187,90,7:30～19:30,6か月～5歳
35.91564868,139.6556556,保育園ハニーガーデン,埼玉県さいたま市見沼区南中丸760,見沼区,認可保育所,048-793-4113,60,7:30～18:30,57日～5歳
35.92054242,139.6737385,七里めぐみ保育園,埼玉県さいたま市見沼区大谷1201,見沼区,認可保育所,048-796-7698,80,7:30～19:00,90日～5歳
35.94995,139.64113,保育園ミルキーウェイ東大宮園,埼玉県さいたま市見沼区東大宮5-40-1,見沼区,認可保育所,048-884-9624,90,7:15～20:15,57日～5歳
35.92744133,139.6563897,大和田とちのき保育園,埼玉県さいたま市見沼区大和田町1-2022,見沼区,認可保育所,048-684-5422,90,7:00～19:00,57日～5歳
35.94729,139.64183,きゃんばす東大宮保育園,埼玉県さいたま市見沼区東大宮5-26-1,見沼区,認可保育所,048-792-0142,89,7:00～20:00,57日～5歳
35.93695858,139.6678962,のぞみ保育園,埼玉県さいたま市見沼区風渡野633-3,見沼区,認可保育所,048-688-6716,50,7:30～19:00,90日～5歳
35.94695594,139.6370903,きらら西口園,埼玉県さいたま市見沼区東大宮2-22-13,見沼区,認可保育所,048-788-2856,36,7:00～19:30,57日～5歳
35.94699,139.650968,島こどものしろ保育園,埼玉県さいたま市見沼区島町552-1,見沼区,認可保育所,048-812-8915,90,7:00～20:00,90日～5歳
35.95136,139.65118,東大宮たいよう保育園,埼玉県さいたま市見沼区東大宮6-44-12,見沼区,認可保育所,048-686-6000,60,7:30～19:30,43日～5歳
35.91904,139.6631044,わかたけのもり保育園,埼玉県さいたま市見沼区南中野1130-1,見沼区,認可保育所,048-792-0681,42,7:30～19:00,1歳～5歳
35.9072669,139.6532818,さいたま南中野雲母保育園,埼玉県さいたま市見沼区南中野166-3,見沼区,認可保育所,048-731-8118,60,7:30～19:30,57日～5歳
35.88285,139.62039,与野ひなどり保育園,埼玉県さいたま市中央区本町西2-1-11,中央区,認可保育所,048-852-4202,90,7:30～19:30,43日～5歳
35.8992189,139.6207319,あおぞら保育園,埼玉県さいたま市中央区上落合8-11-20,中央区,認可保育所,048-857-8841,90,7:30～19:30,6か月～5歳
35.89606723,139.6072352,まどか保育園,埼玉県さいたま市中央区円阿弥7-10-9,中央区,認可保育所,048-855-3331,70,7:00～19:30,6か月～5歳
35.87751,139.62706,与野本町駅前保育所（愛称）おひさま保育園,埼玉県さいたま市中央区鈴谷9-5-18,中央区,認可保育所,048-840-1151,72,7:00～20:00,57日～5歳
35.8732858,139.6290486,ChaCha Children Suzuya,埼玉県さいたま市中央区鈴谷5-6-11,中央区,認可保育所,048-857-7101,90,7:30～19:30,57日～5歳
35.88589,139.62416,ゆめいろ保育園,埼玉県さいたま市中央区本町東4-1-5,中央区,認可保育所,048-840-5850,90,7:15～20:15,57日～5歳
35.89389428,139.6292357,そらいろ保育園,埼玉県さいたま市中央区上落合5-20-20,中央区,認可保育所,048-853-9000,45,7:15～20:15,57日～5歳
35.8635856,139.6326999,南よの虹保育園,埼玉県さいたま市中央区鈴谷1-18-6,中央区,認可保育所,048-858-1900,120,7:00～20:00,57日～5歳
35.89583758,139.626432,さいたまちとせ保育園,埼玉県さいたま市中央区上落合6-17-21,中央区,認可保育所,048-857-1115,70,7:15～20:15,57日～5歳
35.90177,139.62091,リトルやまゆり保育園,埼玉県さいたま市中央区上落合9-16-3,中央区,認可保育所,048-858-2500,100,7:30～19:00,57日～5歳
35.89369205,139.6318461,Gakkenほいくえんさいたま新都心,埼玉県さいたま市中央区新都心11-1JRさいたま新都心ビル1階,中央区,認可保育所,048-762-9242,60,7:00～20:00,57日～5歳
35.87658,139.63245,みずほ保育園与野新中里,埼玉県さいたま市中央区新中里3-14-6,中央区,認可保育所,048-851-3240,90,7:00～19:00,43日～5歳
35.86678795,139.6307885,小鳩保育園南与野,埼玉県さいたま市中央区鈴谷2-537-1,中央区,認可保育所,048-799-2831,90,7:00～20:00,57日～5歳
35.87908635,139.628382,リップル保育園鈴谷,埼玉県さいたま市中央区鈴谷9-10-6,中央区,認可保育所,048-767-4009,59,7:30～19:00,6か月～5歳
35.88695,139.62578,保育園ミルキーウェイインターナショナル新都心園,埼玉県さいたま市中央区下落合4-8-17,中央区,認可保育所,048-853-6900,65,7:15～20:15,57日～5歳
35.89208,139.61716,スキップ本町保育園,埼玉県さいたま市中央区本町東6-7-11,中央区,認可保育所,048-767-7988,60,7:00～19:00,6か月～5歳
35.88067514,139.6260529,保育園ミルキーウェイ与野本町園,埼玉県さいたま市中央区本町東1-14-5,中央区,認可保育所,048-851-8828,57,7:15～20:15,57日～5歳
35.89892,139.62445,インターナショナル保育所まぁむ大宮園,埼玉県さいたま市中央区上落合8-1-20,中央区,認可保育所,048-857-6220,49,7:00～19:30,57日～5歳
35.872741,139.632027,南与野たいよう保育園,埼玉県さいたま市中央区鈴谷5-15-8,中央区,認可保育所,048-856-0666,90,7:30～19:30,43日～5歳
35.882444,139.63869,与野クマさん保育所,埼玉県さいたま市中央区下落合1085-1,中央区,認可保育所,048-833-2611,90,7:00～19:00,57日～5歳
35.892473,139.629781,彩の調保育園さいたま新都心西口,埼玉県さいたま市中央区新都心5-2ポルト小池ビル1階,中央区,認可保育所,048-762-6808,51,7:30～19:30,6か月～5歳
35.889067,139.632754,リコリコ保育園,埼玉県さいたま市中央区上落合1-3-3,中央区,認可保育所,048-617-1101,60,7:30～19:30,1歳～5歳
35.869818,139.629617,つながりほいくえん,埼玉県さいたま市中央区鈴谷2-623-1,中央区,認可保育所,048-816-3884,39,7:30～19:30,57日～2歳
35.886214,139.623661,本町東マーガレット保育園,埼玉県さいたま市中央区本町東4-3-13,中央区,認可保育所,048-767-4473,81,7:30～19:30,6か月～5歳
35.876267,139.630097,はなまる保育園,埼玉県さいたま市中央区鈴谷6-13-12,中央区,認可保育所,048-857-1114,80,7:00～19:00,60日～5歳
35.8815,139.62811,ながれ星保育園与野本町,埼玉県さいたま市中央区下落合6-7-6,中央区,認可保育所,048-711-8202,28,7:30～19:00,6か月～5歳
35.85679793,139.6329141,浦和ひなどり保育園,埼玉県さいたま市桜区西堀2-6-26,桜区,認可保育所,048-861-8311,145,7:30～19:30,43日～5歳
35.85095,139.619,聖徳保育園,埼玉県さいたま市桜区新開2-17-13,桜区,認可保育所,048-862-1601,80,7:20～19:20,3か月～5歳
35.85666263,139.6266796,わらしべ保育園,埼玉県さいたま市桜区西堀5-5-3,桜区,認可保育所,048-862-3123,120,7:15～19:15,57日～5歳
35.87549484,139.6090706,ひまわりＤｏ・Ｄｏ保育園,埼玉県さいたま市桜区神田596-1,桜区,認可保育所,048-853-5770,110,7:10～19:10,57日～5歳
35.85446396,139.636467,菁莪保育園,埼玉県さいたま市桜区西堀1-11-1,桜区,認可保育所,048-865-4321,60,7:30～19:30,43日～5歳
35.86030976,139.6259286,若草保育園,埼玉県さいたま市桜区南元宿1-12-20,桜区,認可保育所,048-837-2666,30,7:30～18:30,2歳～5歳
35.87571992,139.6093484,ひまわりＤｏ・Ｄｏ第２保育園,埼玉県さいたま市桜区神田595-1,桜区,認可保育所,048-853-3232,60,7:10～19:10,57日～5歳
35.86481398,139.6145509,ニチイキッズさいたま保育園,埼玉県さいたま市桜区栄和5-15-39,桜区,認可保育所,048-851-0715,90,7:30～20:30,57日～5歳
35.86095,139.63519,わらしべ第二保育園,埼玉県さいたま市桜区西堀8-3-13,桜区,認可保育所,048-711-2885,90,7:15～19:15,6か月～5歳
35.84741615,139.6300587,たじま絆保育園,埼玉県さいたま市桜区田島3-13-4,桜区,認可保育所,048-711-5697,90,7:00～19:00,3か月～5歳
35.8490097,139.6326248,いちご桜保育園,埼玉県さいたま市桜区田島3-6-7,桜区,認可保育所,048-839-1717,60,7:30～19:30,43日～5歳
35.85753534,139.6366116,中浦和たいよう保育園,埼玉県さいたま市桜区西堀1-5-26,桜区,認可保育所,048-836-1212,90,7:30～19:30,57日～5歳
35.84992181,139.659914,エンゼル保育園,埼玉県さいたま市浦和区神明2-21-14,浦和区,認可保育所,048-822-8696,35,7:00～19:00,43日～2歳
35.88188556,139.6454186,ひまわり乳児保育園,埼玉県さいたま市浦和区針ヶ谷2-16-16,浦和区,認可保育所,048-827-0777,30,7:10～19:10,57日～2歳
35.87379,139.66408,椎の実保育園,埼玉県さいたま市浦和区瀬ヶ崎5-21-18,浦和区,認可保育所,048-887-2112,70,7:30～19:30,57日～5歳
