名称,住所,区,カテゴリ,対象学年,費用目安
SAPIX小学部 大宮校,埼玉県さいたま市大宮区桜木町1-271,大宮区,中学受験,小学生,月約4万〜6万円
SAPIX小学部 南浦和校,埼玉県さいたま市南区南本町2-11-17,南区,中学受験,小学生,月約4万〜6万円
日能研 大宮校,埼玉県さいたま市大宮区桜木町1-4-1 吉田ビル3・4F,大宮区,中学受験,小学生,月約2万〜4万円
日能研 南浦和校,埼玉県さいたま市南区南浦和2-38-5,南区,中学受験,小学生,月約2万〜4万円
早稲田アカデミー 大宮校,埼玉県さいたま市大宮区桜木町2-3 イオンスタイル大宮西口駅前7F,大宮区,中学受験,小学生/中学生,月約3万〜5万円
四谷大塚 大宮校舎,埼玉県さいたま市大宮区錦町682-1 JR大宮西口ビル4F,大宮区,中学受験,小学生,月約3万〜5万円
四谷大塚 南浦和校舎,埼玉県さいたま市南区南浦和2-41-3,南区,中学受験,小学生,月約3万〜5万円
栄光ゼミナール 大宮校,埼玉県さいたま市大宮区桜木町2-4-1 DOMパートIII 4F,大宮区,中学受験,小学生/中学生,月約2万〜4万円
栄光ゼミナール 浦和校,埼玉県さいたま市浦和区高砂2-9-1,浦和区,中学受験,小学生/中学生,月約2万〜4万円
栄光ゼミナール 南浦和校,埼玉県さいたま市南区南本町1-3-3,南区,中学受験,小学生/中学生,月約2万〜4万円
栄光ゼミナール 武蔵浦和校,埼玉県さいたま市南区別所7-16-14 2F,南区,中学受験,小学生/中学生,月約2万〜4万円
栄光ゼミナール 土呂校,埼玉県さいたま市北区土呂町1-6-3 アルカータ壽1F,北区,中学受験,小学生/中学生,月約2万〜4万円
グノーブル 南浦和校,埼玉県さいたま市南区南浦和2-38-21 第一昭栄ビル,南区,中学受験,小学生,月約4万〜6万円
臨海セミナー 大宮校,埼玉県さいたま市大宮区桜木町2-8-2 第2金子ビル4F,大宮区,高校受験,小学生/中学生,月約1万〜3万円
臨海セミナー 北浦和校,埼玉県さいたま市浦和区北浦和4-3-1 三飯ビル4F401号室,浦和区,高校受験,小学生/中学生,月約1万〜3万円
臨海セミナー 南浦和校,埼玉県さいたま市南区南本町1-16-5 サンシティビル5F,南区,高校受験,小学生/中学生,月約1万〜3万円
臨海セミナー 武蔵浦和校,埼玉県さいたま市南区沼影1-29-4 信興ビル102号室,南区,高校受験,小学生/中学生,月約1万〜3万円
臨海セミナー 東浦和校,埼玉県さいたま市緑区東浦和5-11-3 熊木ビル3F,緑区,高校受験,小学生/中学生,月約1万〜3万円
臨海セミナー 与野本町校,埼玉県さいたま市中央区本町東2-4-8 ロータリービル2F,中央区,高校受験,小学生/中学生,月約1万〜3万円
湘南ゼミナール 与野教室,埼玉県さいたま市浦和区上木崎1-10-1 グランデュオ北街区1F,浦和区,高校受験,小学生/中学生,月約1万〜3万円
湘南ゼミナール 浦和教室,埼玉県さいたま市浦和区仲町1-14-6 ドミール浦和1F,浦和区,高校受験,小学生/中学生,月約1万〜3万円
湘南ゼミナール 日進教室,埼玉県さいたま市北区日進町2-834-1 大畠日進ビル1F,北区,高校受験,小学生/中学生,月約1万〜3万円
湘南ゼミナール 東浦和教室,埼玉県さいたま市緑区東浦和7-48-12 ガリレオビル4F,緑区,高校受験,小学生/中学生,月約1万〜3万円
湘南ゼミナール 南浦和西口教室,埼玉県さいたま市南区南浦和2-41-5 メゾン大東ビル1F,南区,高校受験,小学生/中学生,月約1万〜3万円
湘南ゼミナール 浦和道祖土教室,埼玉県さいたま市浦和区大東3-40-10,浦和区,高校受験,小学生/中学生,月約1万〜3万円
スクール21 さいたま本部教室,埼玉県さいたま市中央区上落合1-9-2,中央区,高校受験,小学生/中学生,月約2万〜4万円
スクール21 大宮本部教室,埼玉県さいたま市大宮区桜木町1-160,大宮区,高校受験,小学生/中学生,月約2万〜4万円
スクール21 大宮東口教室,埼玉県さいたま市大宮区東町1-32-2,大宮区,高校受験,小学生/中学生,月約2万〜4万円
スクール21 北浦和教室,埼玉県さいたま市浦和区常盤9-19-9,浦和区,高校受験,小学生/中学生,月約2万〜4万円
スクール21 浦和教室,埼玉県さいたま市浦和区高砂2-2-17 浦和県庁通りビル3F〜4F,浦和区,高校受験,小学生/中学生,月約2万〜4万円
スクール21 浦和元町教室,埼玉県さいたま市浦和区元町2-20-7,浦和区,高校受験,小学生/中学生,月約2万〜4万円
スクール21 南浦和本部教室,埼玉県さいたま市南区文蔵1-17-10,南区,高校受験,小学生/中学生,月約2万〜4万円
スクール21 東浦和教室,埼玉県さいたま市緑区東浦和7-5-3,緑区,高校受験,小学生/中学生,月約2万〜4万円
スクール21 武蔵浦和ラムザタワー教室,埼玉県さいたま市南区沼影1-11-2 武蔵浦和SKY&GARDEN A棟,南区,高校受験,小学生/中学生,月約2万〜4万円
国大セミナー 浦和校,埼玉県さいたま市浦和区高砂2-3-19 新高砂ビル5F,浦和区,高校受験,小学生/中学生,月約2万〜3万円
国大セミナー 北浦和校,埼玉県さいたま市浦和区北浦和4-3-1 ミツイビル201号室,浦和区,高校受験,小学生/中学生,月約2万〜3万円
国大セミナー 浦和東仲町校,埼玉県さいたま市浦和区東仲町25-28 東口ロイヤルビル3F,浦和区,高校受験,小学生/中学生,月約2万〜3万円
国大セミナー 埼大通り校,埼玉県さいたま市桜区栄和4-23-6 マルショウハイツ201,桜区,高校受験,小学生/中学生,月約2万〜3万円
国大セミナー 西堀校,埼玉県さいたま市桜区西堀6-1-20 第一グリーンビル2F,桜区,高校受験,小学生/中学生,月約2万〜3万円
国大セミナー 大宮校,埼玉県さいたま市大宮区桜木町4-252 ユニオンビルディング3F,大宮区,高校受験,小学生/中学生,月約2万〜3万円
国大セミナー 見沼校,埼玉県さいたま市見沼区御蔵74-13 グリーンハイツ101号室,見沼区,高校受験,小学生/中学生,月約2万〜3万円
国大セミナー 南区校,埼玉県さいたま市南区大谷口573-1 ハイリーハイツ浦和101号,南区,高校受験,小学生/中学生,月約2万〜3万円
国大セミナー 中浦和校,埼玉県さいたま市桜区町谷1-17-11,桜区,高校受験,小学生/中学生,月約2万〜3万円
ena 大宮校,埼玉県さいたま市大宮区仲町1-47 大宮SGビル5F,大宮区,高校受験,小学生/中学生,月約2万〜4万円
筑波進研スクール 北浦和本部校,埼玉県さいたま市浦和区元町2-17-24,浦和区,高校受験,小学生/中学生,月約1.5万〜3万円
筑波進研スクール 大宮校,埼玉県さいたま市大宮区上小町1302-2,大宮区,高校受験,小学生/中学生,月約1.5万〜3万円
筑波進研スクール 日進教室,埼玉県さいたま市北区日進町2-1059-1-2F,北区,高校受験,小学生/中学生,月約1.5万〜3万円
筑波進研スクール 中尾教室,埼玉県さいたま市緑区中尾577-1,緑区,高校受験,小学生/中学生,月約1.5万〜3万円
筑波進研スクール 西堀教室,埼玉県さいたま市桜区西堀9-26-20,桜区,高校受験,小学生/中学生,月約1.5万〜3万円
筑波進研スクール 太田窪教室,埼玉県さいたま市緑区太田窪1-26-13,緑区,高校受験,小学生/中学生,月約1.5万〜3万円
筑波進研スクール 深作教室,埼玉県さいたま市見沼区深作1-2-4,見沼区,高校受験,小学生/中学生,月約1.5万〜3万円
筑波進研スクール 四谷校,埼玉県さいたま市緑区美園2-11-9,緑区,高校受験,小学生/中学生,月約1.5万〜3万円
明光義塾 大宮教室,埼玉県さいたま市大宮区上小町462 シティパルサイトー2F,大宮区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
明光義塾 さいたま新都心教室,埼玉県さいたま市中央区上落合2-3-2 Shinto CITY 1F,中央区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
明光義塾 与野北袋教室,埼玉県さいたま市大宮区北袋町1-341-5,大宮区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
明光義塾 北浦和駅前教室,埼玉県さいたま市浦和区北浦和3-1-10 乙女屋ビル2F,浦和区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
明光義塾 南浦和教室,埼玉県さいたま市南区南本町2-21-9 ホワイトキャッスル1F,南区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
明光義塾 武蔵浦和教室,埼玉県さいたま市南区白幡3-7-22 ドミール武蔵浦和1F,南区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
明光義塾 宮原ステラタウン前教室,埼玉県さいたま市北区宮原町1-853-8 ウェルネスキューブ大宮306,北区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
明光義塾 浦和太田窪教室,埼玉県さいたま市南区太田窪2-2-1 2F,南区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
明光義塾 岩槻上野教室,埼玉県さいたま市岩槻区上野3-2-14 岩槻上野郵便局2F,岩槻区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
明光義塾 ヤオコー岩槻西町教室,埼玉県さいたま市岩槻区西町2-5-1,岩槻区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
ITTO個別指導学院 浦和木崎校,埼玉県さいたま市浦和区木崎2-4-2,浦和区,個別指導,小学生/中学生/高校生,月約1万〜3万円
ITTO個別指導学院 東大宮校,埼玉県さいたま市見沼区東大宮7-76-17 STビル2F,見沼区,個別指導,小学生/中学生/高校生,月約1万〜3万円
ITTO個別指導学院 東浦和校,埼玉県さいたま市緑区東浦和2-49-12,緑区,個別指導,小学生/中学生/高校生,月約1万〜3万円
ITTO個別指導学院 南中野校,埼玉県さいたま市見沼区南中野222-1,見沼区,個別指導,小学生/中学生/高校生,月約1万〜3万円
ITTO個別指導学院 尾間木校,埼玉県さいたま市緑区大牧1218-36,緑区,個別指導,小学生/中学生/高校生,月約1万〜3万円
ITTO個別指導学院 宮原西口校,埼玉県さいたま市北区日進町3-738-1 関根ビル2F,北区,個別指導,小学生/中学生/高校生,月約1万〜3万円
ITTO個別指導学院 西浦和駅前校,埼玉県さいたま市桜区田島5-20-24,桜区,個別指導,小学生/中学生/高校生,月約1万〜3万円
ITTO個別指導学院 佐知川校,埼玉県さいたま市西区佐知川228-6,西区,個別指導,小学生/中学生/高校生,月約1万〜3万円
ITTO個別指導学院 南根岸校,埼玉県さいたま市南区根岸3-1-8,南区,個別指導,小学生/中学生/高校生,月約1万〜3万円
ITTO個別指導学院 岩槻校,埼玉県さいたま市岩槻区本町3-2-5 ワッツ東館,岩槻区,個別指導,小学生/中学生/高校生,月約1万〜3万円
ITTO個別指導学院 大宮西校,埼玉県さいたま市大宮区櫛引町1-715-1,大宮区,個別指導,小学生/中学生/高校生,月約1万〜3万円
ITTO個別指導学院 指扇校,埼玉県さいたま市西区指扇2820-1,西区,個別指導,小学生/中学生/高校生,月約1万〜3万円
ITTO個別指導学院 東大成校,埼玉県さいたま市北区東大成町1-589-1,北区,個別指導,小学生/中学生/高校生,月約1万〜3万円
ITTO個別指導学院 本郷校,埼玉県さいたま市北区本郷町1175-4,北区,個別指導,小学生/中学生/高校生,月約1万〜3万円
ITTO個別指導学院 大和田駅前校,埼玉県さいたま市見沼区大和田町1-205,見沼区,個別指導,小学生/中学生/高校生,月約1万〜3万円
ITTO個別指導学院 アーバンみらい校,埼玉県さいたま市見沼区深作3-39-1,見沼区,個別指導,小学生/中学生/高校生,月約1万〜3万円
ITTO個別指導学院 大宮別所校,埼玉県さいたま市北区別所町5,北区,個別指導,小学生/中学生/高校生,月約1万〜3万円
ナビ個別指導学院 宮原校,埼玉県さいたま市北区宮原町4-19-8 アイランドビレッジ1F,北区,個別指導,小学生/中学生/高校生,月約1万〜2.5万円
ナビ個別指導学院 指扇校,埼玉県さいたま市西区宝来2224-3 コンフォート都1F,西区,個別指導,小学生/中学生/高校生,月約1万〜2.5万円
ナビ個別指導学院 岩槻校,埼玉県さいたま市岩槻区本町4-2-11 田中ビル1F,岩槻区,個別指導,小学生/中学生/高校生,月約1万〜2.5万円
個別指導Axis 日進校,埼玉県さいたま市北区日進町2-851-1 神山ビル1F,北区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
個別指導Axis 中浦和校,埼玉県さいたま市桜区町谷1-17-11,桜区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
個別指導Axis 中浦和駅前校,埼玉県さいたま市南区鹿手袋1-3-10,南区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
個別指導Axis 東大門校,埼玉県さいたま市緑区東大門2-22-8 ラフィネ大門1F,緑区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
公文式 西大宮駅前教室,埼玉県さいたま市西区西大宮1-4-7,西区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 指扇教室,埼玉県さいたま市西区指扇2637-6,西区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 植竹教室,埼玉県さいたま市北区植竹町1-417,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 ステラタウン前教室,埼玉県さいたま市北区宮原町1-854-1,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 土呂中央教室,埼玉県さいたま市北区土呂町2-2-18,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 日進教室,埼玉県さいたま市北区日進町2-1171-1,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 日進北教室,埼玉県さいたま市北区日進町1-567,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 日進公園教室,埼玉県さいたま市北区日進町3-549-4,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 日進南教室,埼玉県さいたま市北区日進町2-911-3,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 大成北教室,埼玉県さいたま市大宮区大成町3-632 白鳩コーポ103,大宮区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 盆栽町教室,埼玉県さいたま市北区盆栽町459-10,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 大宮中高生教室,埼玉県さいたま市大宮区桜木町1-9-6 大宮センタービル2F,大宮区,公文式,中学生/高校生,1教科月7150〜9900円
公文式 桜木町教室,埼玉県さいたま市大宮区桜木町4-720 松本ビル2F,大宮区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 東町教室,埼玉県さいたま市大宮区東町2-276 小島屋ビル2F,大宮区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 高鼻町教室,埼玉県さいたま市大宮区高鼻町1-40,大宮区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 堀の内教室,埼玉県さいたま市大宮区堀の内町1-62,大宮区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 パール教室,埼玉県さいたま市見沼区東大宮4-16-7,見沼区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 東大宮教室,埼玉県さいたま市見沼区東大宮5-30-7,見沼区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 はるさと教室,埼玉県さいたま市見沼区風渡野731-6,見沼区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 七里教室,埼玉県さいたま市見沼区新堤7-21-202,見沼区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 七里西教室,埼玉県さいたま市見沼区東門前62-3,見沼区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 北与野駅前教室,埼玉県さいたま市中央区上落合2-1-22,中央区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 下落合小前教室,埼玉県さいたま市中央区下落合6-9-13,中央区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 新中里教室,埼玉県さいたま市中央区新中里3-6-19,中央区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 鈴谷小西教室,埼玉県さいたま市中央区鈴谷3-8-24,中央区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 パークシティ前教室,埼玉県さいたま市中央区上落合8-3-35,中央区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 与野駅西口前教室,埼玉県さいたま市中央区下落合1017-3,中央区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 与野中央通り教室,埼玉県さいたま市中央区鈴谷2-740-3,中央区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 与野西北小北教室,埼玉県さいたま市中央区八王子3-2-15,中央区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 与野図書館北教室,埼玉県さいたま市中央区鈴谷5-7-12,中央区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 与野八幡教室,埼玉県さいたま市中央区下落合4-18-12,中央区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 イオン北浦和教室,埼玉県さいたま市浦和区常盤10-20-29 イオン北浦和店3F,浦和区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 浦和駅東口教室,埼玉県さいたま市浦和区東仲町25-1 浦和JSビル3F,浦和区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 浦和仲本教室,埼玉県さいたま市浦和区東高砂町17-10 シゲビル2F,浦和区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 浦和西口教室,埼玉県さいたま市浦和区高砂3-6-19,浦和区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 浦和西高前教室,埼玉県さいたま市浦和区針ヶ谷2-18-10,浦和区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 浦和元町教室,埼玉県さいたま市浦和区元町2-19-12,浦和区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 常盤南教室,埼玉県さいたま市浦和区常盤5-14-21,浦和区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 常盤7丁目教室,埼玉県さいたま市浦和区常盤7-16-17,浦和区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 浦和日向教室,埼玉県さいたま市桜区道場1-13-3,桜区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 大久保東小前教室,埼玉県さいたま市桜区五関514-2,桜区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 栄和教室,埼玉県さいたま市桜区栄和4-13-4 コバデンタル2F,桜区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 栄和小前教室,埼玉県さいたま市桜区栄和5-1-15,桜区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 中島2丁目教室,埼玉県さいたま市桜区中島2-21-21 サンライズ203,桜区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 鈴谷南教室,埼玉県さいたま市桜区山久保2-7-1,桜区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 くすの木教室,埼玉県さいたま市桜区西堀5-3-23,桜区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 南浦和教室,埼玉県さいたま市南区南浦和2-42-12,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 文蔵郷前教室,埼玉県さいたま市南区文蔵4-29-3,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 武蔵浦和東口教室,埼玉県さいたま市南区白幡3-7-20,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 内谷教室,埼玉県さいたま市南区内谷7-1-5,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 大谷場小東教室,埼玉県さいたま市南区南本町1-18-1,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 鹿手袋教室,埼玉県さいたま市南区鹿手袋4-1-16,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 白幡沼教室,埼玉県さいたま市南区白幡2-16-7,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 白幡南教室,埼玉県さいたま市南区白幡5-1-6,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 善前教室,埼玉県さいたま市南区太田窪4-17-5,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 田島通り教室,埼玉県さいたま市桜区田島4-11-8,桜区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 太田窪4丁目公園教室,埼玉県さいたま市南区太田窪4-20-6,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 東浦和7丁目教室,埼玉県さいたま市緑区東浦和7-2-2,緑区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 芝原教室,埼玉県さいたま市緑区芝原2-11-13 芝原第2グリーンハイツ101,緑区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 浦和美園駅前教室,埼玉県さいたま市緑区美園4-13-6 ドルフィーノ浦和美園104,緑区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 向小北教室,埼玉県さいたま市緑区大門1024-5,緑区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 岩槻小前教室,埼玉県さいたま市岩槻区本町5-7-8 スカイマンション302,岩槻区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 本町二丁目教室,埼玉県さいたま市岩槻区本町2-10-21,岩槻区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
公文式 岩槻西町教室,埼玉県さいたま市岩槻区西町2-4-35,岩槻区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
学研教室 学研北浦和駅前教室,埼玉県さいたま市浦和区北浦和3-2-1 サンライト北浦和2F,浦和区,学研教室,幼児/小学生/中学生,算国2教科月8800円
学研教室 学研スクエア浦和教室,埼玉県さいたま市浦和区高砂1-2-1 エイペックスタワー浦和212,浦和区,学研教室,幼児/小学生/中学生,算国2教科月8800円
学研教室 学研さいたま大宮教室,埼玉県さいたま市大宮区桜木町2-3 イオン大宮西口駅前店内,大宮区,学研教室,幼児/小学生/中学生,算国2教科月8800円
学研教室 学研スクエア大宮宮原イトーヨーカドー教室,埼玉県さいたま市北区宮原町1-854-1 イトーヨーカドー大宮宮原店3F,北区,学研教室,幼児/小学生/中学生,算国2教科月8800円
学研教室 学研東大宮駅前教室,埼玉県さいたま市見沼区東大宮4-2-1,見沼区,学研教室,幼児/小学生/中学生,算国2教科月8800円
学研教室 ステラタウン前教室,埼玉県さいたま市北区宮原町1-853-8,北区,学研教室,幼児/小学生/中学生,算国2教科月8800円
学研教室 日進宮原教室,埼玉県さいたま市北区日進町2-1880-6,北区,学研教室,幼児/小学生/中学生,算国2教科月8800円
学研教室 英語西堀教室,埼玉県さいたま市桜区西堀5-17-15,桜区,学研教室,幼児/小学生/中学生,算国2教科月8800円
学研教室 さかわ教室,埼玉県さいたま市桜区栄和4-7-3,桜区,学研教室,幼児/小学生/中学生,算国2教科月8800円
学研教室 白鍬教室,埼玉県さいたま市桜区白鍬580-3,桜区,学研教室,幼児/小学生/中学生,算国2教科月8800円
学研教室 岩槻教室,埼玉県さいたま市岩槻区本町3-1-1,岩槻区,学研教室,幼児/小学生/中学生,算国2教科月8800円
河合塾 大宮校,埼玉県さいたま市大宮区桜木町1-235-3,大宮区,大学受験,高校生/既卒生,年間約50万〜100万円
河合塾マナビス 大宮校,埼玉県さいたま市大宮区桜木町1-4-7 曙ビル2〜5F,大宮区,大学受験,高校生,1講座約2万〜5万円
河合塾マナビス 浦和校,埼玉県さいたま市浦和区北浦和3-1-17 安田ビル2F,浦和区,大学受験,高校生,1講座約2万〜5万円
河合塾マナビス 北浦和校,埼玉県さいたま市浦和区北浦和3-5-14 SIAビル2F,浦和区,大学受験,高校生,1講座約2万〜5万円
河合塾マナビス 南浦和校,埼玉県さいたま市南区南本町1-2-12 コイケビル1F,南区,大学受験,高校生,1講座約2万〜5万円
河合塾マナビス 武蔵浦和校,埼玉県さいたま市南区別所7-10-10 MIYAMA.BLD,南区,大学受験,高校生,1講座約2万〜5万円
河合塾マナビス さいたま新都心校,埼玉県さいたま市中央区新都心5-2 小池ビルポルトB1F,中央区,大学受験,高校生,1講座約2万〜5万円
東進ハイスクール 大宮校,埼玉県さいたま市大宮区桜木町1-2-1 北山ビル6・7F,大宮区,大学受験,高校生,1講座約7.7万円
東進ハイスクール 浦和校,埼玉県さいたま市浦和区東高砂町2-5 NBF浦和ビル1・2F,浦和区,大学受験,高校生,1講座約7.7万円
東進ハイスクール 南浦和校,埼玉県さいたま市南区南浦和2-41-3 5・6F,南区,大学受験,高校生,1講座約7.7万円
東進衛星予備校 北浦和校,埼玉県さいたま市浦和区元町2-17-24,浦和区,大学受験,高校生,1講座約7.7万円
東進衛星予備校 東大宮駅前校,埼玉県さいたま市見沼区東大宮5-1-1-3F,見沼区,大学受験,高校生,1講座約7.7万円
東進衛星予備校 岩槻駅東口校,埼玉県さいたま市岩槻区本町3-2-5 ワッツ東館4F,岩槻区,大学受験,高校生,1講座約7.7万円
東進衛星予備校 浦和美園校,埼玉県さいたま市緑区美園2-11-9,緑区,大学受験,高校生,1講座約7.7万円
東進衛星予備校 さいたま日進校,埼玉県さいたま市北区日進町2-1880-6,北区,大学受験,高校生,1講座約7.7万円
駿台予備校 大宮校,埼玉県さいたま市大宮区桜木町1-235-3,大宮区,大学受験,高校生/既卒生,年間約50万〜100万円
武田塾 大宮東口館,埼玉県さいたま市大宮区仲町2-3 ドミノスペースビル4F,大宮区,大学受験,高校生/既卒生,月約4万〜8万円
武田塾 大宮西口館,埼玉県さいたま市大宮区桜木町1-180 コフルビル4F,大宮区,大学受験,高校生/既卒生,月約4万〜8万円
武田塾 南浦和校,埼玉県さいたま市南区南本町1-3-4 清水ビル3F・4F,南区,大学受験,高校生/既卒生,月約4万〜8万円
武田塾 武蔵浦和校,埼玉県さいたま市南区別所7-1-2 浦和ビル別館3F,南区,大学受験,高校生/既卒生,月約4万〜8万円
武田塾 北浦和校,埼玉県さいたま市浦和区北浦和3-4-1 三宝ビル3F,浦和区,大学受験,高校生/既卒生,月約4万〜8万円
武田塾 岩槻校,埼玉県さいたま市岩槻区本町1-2-1 柳屋ビル5F,岩槻区,大学受験,高校生/既卒生,月約4万〜8万円
