緯度,経度,学校名,住所,区,学校種別,設置区分,特別支援
35.865314,139.642258,埼玉大学教育学部附属幼稚園,埼玉県さいたま市浦和区常盤８－１３－１,浦和区,幼稚園,国立,
35.937901,139.594086,聖学院みどり幼稚園,埼玉県さいたま市西区内野本郷８２０番地,西区,幼稚園,私立,
35.910313,139.592667,みはし幼稚園,埼玉県さいたま市西区三橋５－６２８－１,西区,幼稚園,私立,
35.927578,139.587067,のはら幼稚園,埼玉県さいたま市西区宮前町１０８０－１,西区,幼稚園,私立,
35.89407,139.58754,大宮みどりが丘幼稚園,埼玉県さいたま市西区中野林４３６－１,西区,幼稚園,私立,
35.931183,139.583466,せいか幼稚園,埼玉県さいたま市西区清河寺１２３５－１,西区,幼稚園,私立,
35.920254,139.606476,日進幼稚園,埼玉県さいたま市北区櫛引町２－４１５,北区,幼稚園,私立,
35.928215,139.628845,植竹幼稚園,埼玉県さいたま市北区盆栽町４６３,北区,幼稚園,私立,
35.937687,139.622604,大宮白百合幼稚園,埼玉県さいたま市北区宮原町１－４０６,北区,幼稚園,私立,
35.928383,139.60614,日進まこと幼稚園,埼玉県さいたま市北区日進町２－１０４８,北区,幼稚園,私立,
35.944267,139.616989,宮原幼稚園,埼玉県さいたま市北区宮原町２丁目１０２番地７,北区,幼稚園,私立,
35.936512,139.604843,さくらアート幼稚園,埼玉県さいたま市北区日進町３－１９３,北区,幼稚園,私立,
35.953949,139.60257,銀鈴幼稚園,埼玉県さいたま市北区吉野町２－２１－２,北区,幼稚園,私立,
35.916817,139.610062,明和幼稚園,埼玉県さいたま市北区櫛引町２丁目５４番地,北区,幼稚園,私立,
35.948658,139.613403,清美幼稚園,埼玉県さいたま市北区吉野町１丁目３５２番地１,北区,幼稚園,私立,
35.910542,139.629379,大宮愛仕幼稚園,埼玉県さいたま市大宮区高鼻町１－１１０－１,大宮区,幼稚園,私立,
35.905769,139.629501,大宮幼稚園,埼玉県さいたま市大宮区仲町３－９２,大宮区,幼稚園,私立,
35.902962,139.632248,麗愛幼稚園,埼玉県さいたま市大宮区浅間町２－１７,大宮区,幼稚園,私立,
35.911831,139.612808,普門院幼稚園,埼玉県さいたま市大宮区大成町２－４０２,大宮区,幼稚園,私立,
35.912601,139.615494,認定こども園大成幼稚園,埼玉県さいたま市大宮区大成町２－１８２－２,大宮区,幼稚園,私立,
35.915405,139.625885,神戸幼稚園,埼玉県さいたま市大宮区土手町３－２２,大宮区,幼稚園,私立,
35.899975,139.607941,ひばり幼稚園,埼玉県さいたま市大宮区上小町６４７番,大宮区,幼稚園,私立,
35.895786,139.639771,むつみ幼稚園,埼玉県さいたま市大宮区北袋町１－１４９,大宮区,幼稚園,私立,
35.914322,139.63353,カトリックみどり幼稚園,埼玉県さいたま市大宮区高鼻町２－３５０,大宮区,幼稚園,私立,
35.903103,139.608917,かみこ幼稚園,埼玉県さいたま市大宮区上小町３１０,大宮区,幼稚園,私立,
35.90781,139.603363,大宮なみき幼稚園,埼玉県さいたま市大宮区三橋１－６６４,大宮区,幼稚園,私立,
35.933914,139.645447,大和田幼稚園,埼玉県さいたま市見沼区大和田町２－７１８－１,見沼区,幼稚園,私立,
35.925213,139.676819,山吹幼稚園,埼玉県さいたま市見沼区大谷１９４２,見沼区,幼稚園,私立,
35.906712,139.673721,片柳幼稚園,埼玉県さいたま市見沼区御蔵５５６,見沼区,幼稚園,私立,
35.945332,139.665237,小百合幼稚園,埼玉県さいたま市見沼区小深作３６７－４,見沼区,幼稚園,私立,
35.939018,139.652725,しらかば幼稚園,埼玉県さいたま市見沼区堀崎町６９８,見沼区,幼稚園,私立,
35.915562,139.653259,こまどり幼稚園,埼玉県さいたま市見沼区南中丸５６１,見沼区,幼稚園,私立,
35.938671,139.646561,福寿幼稚園,埼玉県さいたま市見沼区東大宮７－７３－５,見沼区,幼稚園,私立,
35.911777,139.685822,染谷幼稚園,埼玉県さいたま市見沼区染谷２－２３,見沼区,幼稚園,私立,
35.957935,139.651062,春岡幼稚園,埼玉県さいたま市見沼区丸ヶ崎町４５番地１,見沼区,幼稚園,私立,
35.947708,139.65033,しま幼稚園,埼玉県さいたま市見沼区島町４４８,見沼区,幼稚園,私立,
35.896278,139.622818,しんせい幼稚園,埼玉県さいたま市中央区上落合７－９－１１,中央区,幼稚園,私立,
35.867195,139.636032,与野幼稚園,埼玉県さいたま市中央区大戸６－３－１,中央区,幼稚園,私立,
35.88121,139.623672,与野本町幼稚園,埼玉県さいたま市中央区本町東２－７－２１,中央区,幼稚園,私立,
35.890213,139.629761,東京成徳短期大学附属第二幼稚園,埼玉県さいたま市中央区上落合１－９－４,中央区,幼稚園,私立,
35.884838,139.613083,青いとり幼稚園,埼玉県さいたま市中央区八王子２－１７－１,中央区,幼稚園,私立,
35.84457,139.632858,浦和西学園さくら草幼稚園,埼玉県さいたま市桜区田島２－１１－１０,桜区,幼稚園,私立,
35.860947,139.625259,浦和すみれ幼稚園,埼玉県さいたま市桜区南元宿２丁目２４番１号,桜区,幼稚園,私立,
35.853054,139.631027,わかほ幼稚園,埼玉県さいたま市桜区西堀３－１７－３８,桜区,幼稚園,私立,
35.886509,139.607849,淑徳与野幼稚園,埼玉県さいたま市桜区白鍬６８１,桜区,幼稚園,私立,
35.876698,139.598572,認定こども園おおとり幼稚園,埼玉県さいたま市桜区宿１４４番地,桜区,幼稚園,私立,
35.858608,139.632919,西堀ひかわ幼稚園,埼玉県さいたま市桜区西堀８－２６－２６,桜区,幼稚園,私立,
35.86145,139.613358,認定こども園さかわ幼稚園,埼玉県さいたま市桜区栄和６－１８－１,桜区,幼稚園,私立,
35.86087,139.651535,麗和幼稚園,埼玉県さいたま市浦和区仲町２－１０－１９,浦和区,幼稚園,私立,
35.861431,139.652206,浦和幼稚園,埼玉県さいたま市浦和区仲町２－６－１５,浦和区,幼稚園,私立,
35.853394,139.659546,双葉幼稚園,埼玉県さいたま市浦和区岸町３－３－１４,浦和区,幼稚園,私立,
35.871899,139.65004,黎明幼稚園,埼玉県さいたま市浦和区元町２－１１－４,浦和区,幼稚園,私立,
35.880142,139.646606,双恵幼稚園,埼玉県さいたま市浦和区針ヶ谷１－２１－２４,浦和区,幼稚園,私立,
35.884865,139.654556,聖フランソア幼稚園,埼玉県さいたま市浦和区皇山町１８－１,浦和区,幼稚園,私立,
35.871391,139.644241,常盤幼稚園,埼玉県さいたま市浦和区常盤９丁目３１番１６号,浦和区,幼稚園,私立,
35.875614,139.645523,厚徳幼稚園,埼玉県さいたま市浦和区北浦和３－１６－２１,浦和区,幼稚園,私立,
35.86829,139.659866,本太幼稚園,埼玉県さいたま市浦和区本太５－３５－３,浦和区,幼稚園,私立,
35.884285,139.665298,木の実幼稚園,埼玉県さいたま市浦和区木崎５－２８－６,浦和区,幼稚園,私立,
35.890179,139.648483,みぬま幼稚園,埼玉県さいたま市浦和区上木崎７－１９－２１,浦和区,幼稚園,私立,
35.863514,139.64212,ひなぎく幼稚園,埼玉県さいたま市浦和区常盤８－１－１８,浦和区,幼稚園,私立,
35.846577,139.648178,別所幼稚園,埼玉県さいたま市南区別所７－６－１,南区,幼稚園,私立,
35.85181,139.694748,埼玉幼稚園,埼玉県さいたま市南区円正寺５０５－７,南区,幼稚園,私立,
35.842892,139.666641,南浦和幼稚園,埼玉県さいたま市南区文蔵２丁目２９番２２号,南区,幼稚園,私立,
35.838215,139.675583,むさし幼稚園,埼玉県さいたま市南区文蔵３－１１－６,南区,幼稚園,私立,
35.845139,139.673645,浦和のぞみ幼稚園,埼玉県さいたま市南区南浦和３丁目４５番５号,南区,幼稚園,私立,
35.858936,139.680038,はとり幼稚園,埼玉県さいたま市南区大谷口１３１２番地,南区,幼稚園,私立,
35.833908,139.638519,浦和みひかり幼稚園,埼玉県さいたま市南区内谷３－７－２１,南区,幼稚園,私立,
35.861294,139.684616,大谷口幼稚園,埼玉県さいたま市南区広ヶ谷戸９６,南区,幼稚園,私立,
35.836197,139.657654,認定こども園浦和つくし幼稚園,埼玉県さいたま市南区辻４丁目８番７号,南区,幼稚園,私立,
35.83387,139.627487,まつもと幼稚園,埼玉県さいたま市南区松本３－１２－８,南区,幼稚園,私立,
35.839928,139.663513,浦和若竹幼稚園,埼玉県さいたま市南区根岸３丁目１１番３号,南区,幼稚園,私立,
35.84116,139.65358,浦和めぐみ幼稚園,埼玉県さいたま市南区白幡４丁目１０番１５号,南区,幼稚園,私立,
35.871487,139.672623,原山幼稚園,埼玉県さいたま市緑区原山３丁目８番５号,緑区,幼稚園,私立,
35.896717,139.7099,しらさぎ幼稚園,埼玉県さいたま市緑区大字代山９９２番地,緑区,幼稚園,私立,
35.869698,139.708038,浦和明の星幼稚園,埼玉県さいたま市緑区東浦和６－４－１９,緑区,幼稚園,私立,
35.888882,139.67778,ふるさと幼稚園,埼玉県さいたま市緑区三室２３６０番地６,緑区,幼稚園,私立,
35.865311,139.667236,浦和みずほ幼稚園,埼玉県さいたま市緑区太田窪１－１２－１５,緑区,幼稚園,私立,
35.865051,139.689819,あかつき幼稚園,埼玉県さいたま市緑区中尾２３４２－２,緑区,幼稚園,私立,
35.880009,139.735199,大門幼稚園,埼玉県さいたま市緑区大門９３０,緑区,幼稚園,私立,
35.892044,139.673401,大古里育ちの森幼稚園,埼玉県さいたま市緑区三室６３５,緑区,幼稚園,私立,
35.878613,139.696365,認定こども園桜美林幼稚園,埼玉県さいたま市緑区芝原３－２４－５,緑区,幼稚園,私立,
35.949688,139.698853,岩槻幼稚園,埼玉県さいたま市岩槻区本町４－３－１５,岩槻区,幼稚園,私立,
35.95266,139.701447,幼稚園型認定こども園白菊幼稚園,埼玉県さいたま市岩槻区本町５－１１－３７,岩槻区,幼稚園,私立,
35.94809,139.701324,認定こども園恵泉幼稚園,埼玉県さいたま市岩槻区仲町１－１２－１０,岩槻区,幼稚園,私立,
35.952217,139.698471,大龍寺幼稚園,埼玉県さいたま市岩槻区本町５－３－１８,岩槻区,幼稚園,私立,
35.966496,139.674118,河合幼稚園,埼玉県さいたま市岩槻区大字平林寺４１８番地５,岩槻区,幼稚園,私立,
35.946346,139.690308,岩槻みどり幼稚園,埼玉県さいたま市岩槻区加倉１－２５－２,岩槻区,幼稚園,私立,
35.965801,139.684464,岩槻若葉幼稚園,埼玉県さいたま市岩槻区大字金重字東２４－１,岩槻区,幼稚園,私立,
35.951401,139.72168,大光幼稚園,埼玉県さいたま市岩槻区長宮６３９,岩槻区,幼稚園,私立,
35.976727,139.716537,岩槻ひかり幼稚園,埼玉県さいたま市岩槻区大字表慈恩寺９８９－１,岩槻区,幼稚園,私立,
35.970398,139.710052,桂愛幼稚園,埼玉県さいたま市岩槻区表慈恩寺５９３－１,岩槻区,幼稚園,私立,
35.980961,139.708237,ろりぽっぷ幼稚園,埼玉県さいたま市岩槻区慈恩寺２６１－４,岩槻区,幼稚園,私立,
35.964355,139.704758,東岩槻幼稚園,埼玉県さいたま市岩槻区上里２－３－９,岩槻区,幼稚園,私立,
35.9958,139.696686,宝国寺幼稚園,埼玉県さいたま市岩槻区鹿室２８６－１,岩槻区,幼稚園,私立,
35.894909,139.738083,東武リズム幼稚園,埼玉県さいたま市岩槻区釣上新田１４２１,岩槻区,幼稚園,私立,
35.9589,139.698502,はくつる幼稚園,埼玉県さいたま市岩槻区宮町１丁目６番２０号,岩槻区,幼稚園,私立,
35.905796,139.578583,認定こども園愛徳幼稚園,埼玉県さいたま市西区プラザ３６－１１,西区,認定こども園,私立,
35.919861,139.558014,認定こども園さしおうぎ幼稚園,埼玉県さいたま市西区宝来１１７５－１,西区,認定こども園,私立,
35.907658,139.620499,認定こども園聖愛幼稚園,埼玉県さいたま市大宮区桜木町２－１７２,大宮区,認定こども園,私立,
35.929447,139.683746,七里ふたばこども園,埼玉県さいたま市見沼区東宮下４８０,見沼区,認定こども園,私立,
35.885456,139.636505,認定こども園与野あいし幼稚園,埼玉県さいたま市中央区下落合１０３０,中央区,認定こども園,私立,
35.856537,139.633408,認定こども園ひなどり幼稚園,埼玉県さいたま市桜区西堀２－６－１８,桜区,認定こども園,私立,
35.869602,139.605927,認定こども園浦和こばと幼稚園,埼玉県さいたま市桜区大久保領家１０３－１,桜区,認定こども園,私立,
35.863678,139.662338,認定こども園母の会,埼玉県さいたま市浦和区本太１－２０－１０,浦和区,認定こども園,私立,
35.881866,139.650024,ひかり認定こども園,埼玉県さいたま市浦和区領家７丁目２－１４,浦和区,認定こども園,私立,
35.836563,139.630142,認定こども園こどものにわ西浦和幼稚園,埼玉県さいたま市南区曲本１－２１－２２,南区,認定こども園,私立,
35.931705,139.731781,認定こども園岩槻ひまわり幼稚園,埼玉県さいたま市岩槻区飯塚２３３,岩槻区,認定こども園,私立,
35.861889,139.643646,埼玉大学教育学部附属小学校,埼玉県さいたま市浦和区常盤６－９－４４,浦和区,小学校,国立,
35.922451,139.573044,さいたま市立指扇小学校,埼玉県さいたま市西区西大宮１丁目４９番地６,西区,小学校,公立,知的固定・情緒固定あり
35.904213,139.571411,さいたま市立馬宮東小学校,埼玉県さいたま市西区大字西遊馬１８９－１,西区,小学校,公立,知的固定・情緒固定あり
35.885693,139.559006,さいたま市立馬宮西小学校,埼玉県さいたま市西区飯田新田１８９－２,西区,小学校,公立,知的固定・情緒固定あり
35.894073,139.594513,さいたま市立植水小学校,埼玉県さいたま市西区中野林２２５－１,西区,小学校,公立,知的固定・情緒固定あり
35.904217,139.590866,さいたま市立大宮西小学校,埼玉県さいたま市西区三橋５－１３５９,西区,小学校,公立,知的固定・情緒固定あり
35.907173,139.582565,さいたま市立栄小学校,埼玉県さいたま市西区飯田８１１,西区,小学校,公立,知的固定・情緒固定あり
35.924,139.595184,さいたま市立宮前小学校,埼玉県さいたま市西区宮前町３４１番地,西区,小学校,公立,知的固定・情緒固定あり
35.932861,139.57132,さいたま市立指扇北小学校,埼玉県さいたま市西区中釘１５０６－１,西区,小学校,公立,知的固定・情緒固定あり
35.925369,139.618286,さいたま市立東大成小学校,埼玉県さいたま市北区東大成町２－１２,北区,小学校,公立,知的固定・情緒固定あり
35.924988,139.607635,さいたま市立日進小学校,埼玉県さいたま市北区日進町２－９１１,北区,小学校,公立,知的固定・情緒固定あり
35.936733,139.603821,さいたま市立日進北小学校,埼玉県さいたま市北区日進町３－１７８,北区,小学校,公立,知的固定・情緒固定あり
35.948902,139.606812,さいたま市立宮原小学校,埼玉県さいたま市北区宮原町４－１０２－６,北区,小学校,公立,知的固定・情緒固定あり
35.929649,139.626343,さいたま市立植竹小学校,埼玉県さいたま市北区植竹町２－１,北区,小学校,公立,知的固定・情緒固定あり
35.937225,139.627441,さいたま市立大砂土小学校,埼玉県さいたま市北区本郷町１,北区,小学校,公立,知的固定・情緒固定あり
35.954964,139.597519,さいたま市立大宮別所小学校,埼玉県さいたま市北区別所町４２－１,北区,小学校,公立,知的固定・情緒固定あり
35.949554,139.62648,さいたま市立泰平小学校,埼玉県さいたま市北区今羽町６２８番地,北区,小学校,公立,知的固定・情緒固定あり
35.933681,139.610916,さいたま市立つばさ小学校,埼玉県さいたま市北区宮原町３－９０２－４,北区,小学校,公立,知的固定・情緒固定あり
35.906647,139.629776,さいたま市立大宮小学校,埼玉県さいたま市大宮区大門町３－３,大宮区,小学校,公立,知的固定・情緒固定あり
35.913998,139.635788,さいたま市立大宮東小学校,埼玉県さいたま市大宮区堀の内町３－１４５,大宮区,小学校,公立,知的固定・情緒固定あり
35.900581,139.633881,さいたま市立大宮南小学校,埼玉県さいたま市大宮区吉敷町３－８７,大宮区,小学校,公立,知的固定・情緒固定あり
35.911427,139.627853,さいたま市立大宮北小学校,埼玉県さいたま市大宮区宮町３－８４,大宮区,小学校,公立,知的固定・情緒固定あり
35.903103,139.617554,さいたま市立桜木小学校,埼玉県さいたま市大宮区桜木町４－３２８－９,大宮区,小学校,公立,知的固定・情緒固定あり
35.90353,139.604828,さいたま市立三橋小学校,埼玉県さいたま市大宮区三橋２－２０,大宮区,小学校,公立,知的固定・情緒固定あり
35.914425,139.614151,さいたま市立大成小学校,埼玉県さいたま市大宮区大成町２－２８２,大宮区,小学校,公立,知的固定・情緒固定あり
35.904934,139.645523,さいたま市立芝川小学校,埼玉県さいたま市大宮区天沼町２丁目１０７７番地,大宮区,小学校,公立,知的固定・情緒固定あり
35.896652,139.616928,さいたま市立上小小学校,埼玉県さいたま市大宮区上小町１３３７－１,大宮区,小学校,公立,知的固定・情緒固定あり
35.937214,139.646759,さいたま市立大砂土東小学校,埼玉県さいたま市見沼区大和田町２－９９８,見沼区,小学校,公立,知的固定・情緒固定あり
35.948463,139.632706,さいたま市立見沼小学校,埼玉県さいたま市見沼区東大宮２－４５,見沼区,小学校,公立,知的固定・情緒固定あり
35.910564,139.670761,さいたま市立片柳小学校,埼玉県さいたま市見沼区大字東新井２４４－１,見沼区,小学校,公立,知的固定・情緒固定あり
35.929123,139.676407,さいたま市立七里小学校,埼玉県さいたま市見沼区大字東宮下３１２番地,見沼区,小学校,公立,知的固定・情緒固定あり
35.949329,139.662079,さいたま市立春岡小学校,埼玉県さいたま市見沼区春岡２－２９－１,見沼区,小学校,公立,知的固定・情緒固定あり
35.934086,139.660995,さいたま市立蓮沼小学校,埼玉県さいたま市見沼区蓮沼１０７０,見沼区,小学校,公立,知的固定・情緒固定あり
35.921005,139.666031,さいたま市立大谷小学校,埼玉県さいたま市見沼区大字大谷１８番地,見沼区,小学校,公立,知的固定・情緒固定あり
35.94643,139.652176,さいたま市立島小学校,埼玉県さいたま市見沼区島町５３３－２,見沼区,小学校,公立,知的固定・情緒固定あり
35.925739,139.678101,さいたま市立東宮下小学校,埼玉県さいたま市見沼区東宮下２１５番地１,見沼区,小学校,公立,知的固定・情緒固定あり
35.906288,139.659561,さいたま市立海老沼小学校,埼玉県さいたま市見沼区大字東新井７１０番地の５,見沼区,小学校,公立,知的固定・情緒固定あり
35.956509,139.667603,さいたま市立春野小学校,埼玉県さいたま市見沼区春野１－１０－１,見沼区,小学校,公立,知的固定・情緒固定あり
35.883755,139.622345,さいたま市立与野本町小学校,埼玉県さいたま市中央区本町東３－５－２３,中央区,小学校,公立,知的固定・情緒固定あり
35.894215,139.625793,さいたま市立上落合小学校,埼玉県さいたま市中央区上落合４－１４－２４,中央区,小学校,公立,知的固定・情緒固定あり
35.872334,139.636566,さいたま市立大戸小学校,埼玉県さいたま市中央区新中里１－６－２８,中央区,小学校,公立,知的固定・情緒固定あり
35.890156,139.631943,さいたま市立下落合小学校,埼玉県さいたま市中央区上落合１－７－３３,中央区,小学校,公立,知的固定・情緒固定あり
35.887268,139.608383,さいたま市立与野西北小学校,埼玉県さいたま市中央区円阿弥４－３－７,中央区,小学校,公立,知的固定・情緒固定あり
35.870895,139.631546,さいたま市立鈴谷小学校,埼玉県さいたま市中央区鈴谷５－１－１,中央区,小学校,公立,知的固定・情緒固定あり
35.890572,139.62149,さいたま市立与野八幡小学校,埼玉県さいたま市中央区本町東５－２３－１４,中央区,小学校,公立,知的固定・情緒固定あり
35.8671,139.635483,さいたま市立与野南小学校,埼玉県さいたま市中央区大戸６－２－２５,中央区,小学校,公立,知的固定・情緒固定あり
35.857269,139.627991,さいたま市立土合小学校,埼玉県さいたま市桜区西堀７－２１－１,桜区,小学校,公立,知的固定・情緒固定あり
35.871731,139.598419,さいたま市立大久保小学校,埼玉県さいたま市桜区五関２１,桜区,小学校,公立,知的固定・情緒固定あり
35.860764,139.618423,さいたま市立栄和小学校,埼玉県さいたま市桜区栄和１－７－１,桜区,小学校,公立,知的固定・情緒固定あり
35.838146,139.623871,さいたま市立田島小学校,埼玉県さいたま市桜区田島１０－１２－１,桜区,小学校,公立,知的固定・情緒固定あり
35.871292,139.603546,さいたま市立大久保東小学校,埼玉県さいたま市桜区大久保領家３３１,桜区,小学校,公立,知的固定・情緒固定あり
35.850826,139.617401,さいたま市立新開小学校,埼玉県さいたま市桜区新開２－１８－１,桜区,小学校,公立,知的固定・情緒固定あり
35.874935,139.607635,さいたま市立神田小学校,埼玉県さいたま市桜区神田５４１－１,桜区,小学校,公立,知的固定・情緒固定あり
35.86496,139.623123,さいたま市立中島小学校,埼玉県さいたま市桜区中島１－２８－１,桜区,小学校,公立,知的固定・情緒固定あり
35.856712,139.656754,さいたま市立高砂小学校,埼玉県さいたま市浦和区岸町４－１－２９,浦和区,小学校,公立,知的固定・情緒固定あり
35.868248,139.64325,さいたま市立常盤小学校,埼玉県さいたま市浦和区常盤９－３０－９,浦和区,小学校,公立,知的固定・情緒固定あり
35.882607,139.65181,さいたま市立木崎小学校,埼玉県さいたま市浦和区領家４－１９－４,浦和区,小学校,公立,知的固定・情緒固定あり
35.861614,139.661728,さいたま市立仲本小学校,埼玉県さいたま市浦和区本太２－１２－３１,浦和区,小学校,公立,知的固定・情緒固定あり
35.865162,139.658234,さいたま市立本太小学校,埼玉県さいたま市浦和区本太２－２６－２５,浦和区,小学校,公立,知的固定・情緒固定あり
35.876484,139.648102,さいたま市立北浦和小学校,埼玉県さいたま市浦和区北浦和２－１８－３,浦和区,小学校,公立,知的固定・情緒固定あり
35.863075,139.640915,さいたま市立仲町小学校,埼玉県さいたま市浦和区常盤８－１８－４,浦和区,小学校,公立,知的固定・情緒固定あり
35.887302,139.641754,さいたま市立上木崎小学校,埼玉県さいたま市浦和区上木崎３－４－３,浦和区,小学校,公立,知的固定・情緒固定あり
35.85043,139.650452,さいたま市立岸町小学校,埼玉県さいたま市浦和区岸町５－２０－４,浦和区,小学校,公立,知的固定・情緒固定あり
