緯度,経度,学校名,住所,区,学校種別,設置区分,特別支援
35.882111,139.648254,さいたま市立針ヶ谷小学校,埼玉県さいたま市浦和区領家７－２－１,浦和区,小学校,公立,知的固定・情緒固定あり
35.882511,139.664276,さいたま市立大東小学校,埼玉県さいたま市浦和区大東３－１４－１,浦和区,小学校,公立,知的固定・情緒固定あり
35.880749,139.639191,さいたま市立常盤北小学校,埼玉県さいたま市浦和区針ヶ谷４－２－１２,浦和区,小学校,公立,知的固定・情緒固定あり
35.856323,139.67868,さいたま市立谷田小学校,埼玉県さいたま市南区太田窪５－１０－６,南区,小学校,公立,知的固定・情緒固定あり
35.846046,139.657593,さいたま市立南浦和小学校,埼玉県さいたま市南区白幡１－１－２０,南区,小学校,公立,知的固定・情緒固定あり
35.849869,139.647766,さいたま市立浦和別所小学校,埼玉県さいたま市南区別所２－５－３４,南区,小学校,公立,知的固定・情緒固定あり
35.853333,139.668045,さいたま市立大谷場小学校,埼玉県さいたま市南区南浦和１丁目１８番３号,南区,小学校,公立,知的固定・情緒固定あり
35.852928,139.674103,さいたま市立大谷場東小学校,埼玉県さいたま市南区大谷場２－１３－５４,南区,小学校,公立,知的固定・情緒固定あり
35.83876,139.630081,さいたま市立西浦和小学校,埼玉県さいたま市南区曲本１－３－５,南区,小学校,公立,知的固定・情緒固定あり
35.833527,139.65892,さいたま市立辻小学校,埼玉県さいたま市南区辻６－３－２８,南区,小学校,公立,知的固定・情緒固定あり
35.83527,139.673187,さいたま市立文蔵小学校,埼玉県さいたま市南区文蔵５－１６－２９,南区,小学校,公立,知的固定・情緒固定あり
35.838768,139.645538,さいたま市立沼影小学校,埼玉県さいたま市南区沼影２－８－３６,南区,小学校,公立,知的固定・情緒固定あり
35.862751,139.683517,さいたま市立大谷口小学校,埼玉県さいたま市南区広ヶ谷戸２４,南区,小学校,公立,知的固定・情緒固定あり
35.844604,139.643051,さいたま市立浦和大里小学校,埼玉県さいたま市南区別所７－１４－２８,南区,小学校,公立,知的固定・情緒固定あり
35.853909,139.686295,さいたま市立善前小学校,埼玉県さいたま市南区太田窪２５００－１,南区,小学校,公立,知的固定・情緒固定あり
35.857773,139.696136,さいたま市立向小学校,埼玉県さいたま市南区大谷口５４３７番地,南区,小学校,公立,知的固定・情緒固定あり
35.832092,139.665375,さいたま市立辻南小学校,埼玉県さいたま市南区辻８－７－３２,南区,小学校,公立,知的固定・情緒固定あり
35.883602,139.681915,さいたま市立三室小学校,埼玉県さいたま市緑区三室１９９４,緑区,小学校,公立,知的固定・情緒固定あり
35.868664,139.696899,さいたま市立尾間木小学校,埼玉県さいたま市緑区東浦和８－１１－５,緑区,小学校,公立,知的固定・情緒固定あり
35.866371,139.669708,さいたま市立原山小学校,埼玉県さいたま市緑区原山１－３０－１２,緑区,小学校,公立,知的固定・情緒固定あり
35.880684,139.733261,さいたま市立大門小学校,埼玉県さいたま市緑区大門１１８９,緑区,小学校,公立,知的固定・情緒固定あり
35.901207,139.703171,さいたま市立野田小学校,埼玉県さいたま市緑区大字上野田１６,緑区,小学校,公立,知的固定・情緒固定あり
35.875416,139.668045,さいたま市立道祖土小学校,埼玉県さいたま市緑区道祖土１－１－１,緑区,小学校,公立,知的固定・情緒固定あり
35.868343,139.682648,さいたま市立中尾小学校,埼玉県さいたま市緑区中尾２５９６－１,緑区,小学校,公立,知的固定・情緒固定あり
35.872887,139.706863,さいたま市立大牧小学校,埼玉県さいたま市緑区東浦和６－１２－３,緑区,小学校,公立,知的固定・情緒固定あり
35.881706,139.691605,さいたま市立芝原小学校,埼玉県さいたま市緑区芝原２丁目５番地,緑区,小学校,公立,知的固定・情緒固定あり
35.890549,139.735031,さいたま市立美園小学校,埼玉県さいたま市緑区美園５－３３,緑区,小学校,公立,知的固定・情緒固定あり
35.900673,139.723404,さいたま市立美園北小学校,埼玉県さいたま市緑区美園２－１２－１１,緑区,小学校,公立,知的固定・情緒固定あり
35.952251,139.69928,さいたま市立岩槻小学校,埼玉県さいたま市岩槻区本町５－６－４５,岩槻区,小学校,公立,知的固定・情緒固定あり
35.948357,139.703598,さいたま市立太田小学校,埼玉県さいたま市岩槻区仲町１－１７－３,岩槻区,小学校,公立,知的固定・情緒固定あり
35.941936,139.731674,さいたま市立川通小学校,埼玉県さいたま市岩槻区大字大野島４２２－１,岩槻区,小学校,公立,知的固定・情緒固定あり
35.933502,139.701309,さいたま市立柏崎小学校,埼玉県さいたま市岩槻区大字柏崎７６２,岩槻区,小学校,公立,知的固定・情緒固定あり
35.925728,139.720459,さいたま市立和土小学校,埼玉県さいたま市岩槻区大字黒谷１３５３,岩槻区,小学校,公立,知的固定・情緒固定あり
35.910622,139.733231,さいたま市立新和小学校,埼玉県さいたま市岩槻区尾ヶ崎１２５２,岩槻区,小学校,公立,知的固定・情緒固定あり
35.980961,139.708237,さいたま市立慈恩寺小学校,埼玉県さいたま市岩槻区大字慈恩寺２５９,岩槻区,小学校,公立,知的固定・情緒固定あり
35.967049,139.671631,さいたま市立河合小学校,埼玉県さいたま市岩槻区大字平林寺３５１,岩槻区,小学校,公立,知的固定・情緒固定あり
35.969917,139.709213,さいたま市立東岩槻小学校,埼玉県さいたま市岩槻区諏訪２－６－１,岩槻区,小学校,公立,知的固定・情緒固定あり
35.961689,139.693848,さいたま市立城北小学校,埼玉県さいたま市岩槻区岩槻６６１９,岩槻区,小学校,公立,知的固定・情緒固定あり
35.973942,139.716553,さいたま市立徳力小学校,埼玉県さいたま市岩槻区徳力１３６－４,岩槻区,小学校,公立,知的固定・情緒固定あり
35.965263,139.704712,さいたま市立上里小学校,埼玉県さいたま市岩槻区上里２－２,岩槻区,小学校,公立,知的固定・情緒固定あり
35.952625,139.684021,さいたま市立西原小学校,埼玉県さいたま市岩槻区西原６番２５号,岩槻区,小学校,公立,知的固定・情緒固定あり
35.935474,139.713043,さいたま市立城南小学校,埼玉県さいたま市岩槻区南下新井１１９１－１,岩槻区,小学校,公立,知的固定・情緒固定あり
35.944633,139.631058,さとえ学園小学校,埼玉県さいたま市北区本郷町１８１３,北区,小学校,私立,
35.887722,139.71698,青山学院大学系属浦和ルーテル学院小学校,埼玉県さいたま市緑区大字大崎３６４２,緑区,小学校,私立,
35.972267,139.71817,開智小学校,埼玉県さいたま市岩槻区徳力西１８６,岩槻区,小学校,私立,
35.855579,139.643143,埼玉大学教育学部附属中学校,埼玉県さいたま市南区別所４－２－５,南区,中学校,国立,
35.927486,139.576675,さいたま市立指扇中学校,埼玉県さいたま市西区西大宮３丁目３１番地１,西区,中学校,公立,知的固定・情緒固定あり
35.89872,139.579361,さいたま市立馬宮中学校,埼玉県さいたま市西区二ツ宮５８９－１,西区,中学校,公立,知的固定・情緒固定あり
35.919586,139.589874,さいたま市立大宮西中学校,埼玉県さいたま市西区三橋６－１５５８,西区,中学校,公立,知的固定・情緒固定あり
35.929565,139.59819,さいたま市立宮前中学校,埼玉県さいたま市西区宮前町１４６７－１,西区,中学校,公立,知的固定・情緒固定あり
35.886765,139.58371,さいたま市立植水中学校,埼玉県さいたま市西区三条町３４５－１,西区,中学校,公立,知的固定・情緒固定あり
35.911091,139.571518,さいたま市立土屋中学校,埼玉県さいたま市西区土屋１７６６－１,西区,中学校,公立,知的固定・情緒固定あり
35.922535,139.609924,さいたま市立日進中学校,埼玉県さいたま市北区櫛引町２－５０３－１,北区,中学校,公立,知的固定・情緒固定あり
35.951778,139.605118,さいたま市立宮原中学校,埼玉県さいたま市北区宮原町４－１２９,北区,中学校,公立,知的固定・情緒固定あり
35.933815,139.627335,さいたま市立植竹中学校,埼玉県さいたま市北区土呂町３５２番地,北区,中学校,公立,知的固定・情緒固定あり
35.948788,139.627396,さいたま市立泰平中学校,埼玉県さいたま市北区本郷町１９９１,北区,中学校,公立,知的固定・情緒固定あり
35.938663,139.637772,さいたま市立土呂中学校,埼玉県さいたま市北区見沼３－７５,北区,中学校,公立,知的固定・情緒固定あり
35.908325,139.635559,さいたま市立大宮東中学校,埼玉県さいたま市大宮区堀の内町１－９９,大宮区,中学校,公立,知的固定・情緒固定あり
35.899437,139.638,さいたま市立大宮南中学校,埼玉県さいたま市大宮区天沼町２－３６２,大宮区,中学校,公立,知的固定・情緒固定あり
35.921692,139.632248,さいたま市立大宮北中学校,埼玉県さいたま市大宮区寿能町１－２１,大宮区,中学校,公立,知的固定・情緒固定あり
35.9048,139.61702,さいたま市立桜木中学校,埼玉県さいたま市大宮区桜木町４－２１９,大宮区,中学校,公立,知的固定・情緒固定あり
35.904564,139.602814,さいたま市立三橋中学校,埼玉県さいたま市大宮区三橋１－１３００,大宮区,中学校,公立,知的固定・情緒固定あり
35.913097,139.612473,さいたま市立大成中学校,埼玉県さいたま市大宮区大成町２－３７９,大宮区,中学校,公立,知的固定・情緒固定あり
35.90921,139.645798,さいたま市立第二東中学校,埼玉県さいたま市大宮区天沼町１－７６０,大宮区,中学校,公立,知的固定・情緒固定あり
35.937534,139.644623,さいたま市立大砂土中学校,埼玉県さいたま市見沼区東大宮１－１００－１,見沼区,中学校,公立,知的固定・情緒固定あり
35.906712,139.673721,さいたま市立片柳中学校,埼玉県さいたま市見沼区御蔵５５１,見沼区,中学校,公立,知的固定・情緒固定あり
35.940819,139.662506,さいたま市立春里中学校,埼玉県さいたま市見沼区大字小深作２６８－１９,見沼区,中学校,公立,知的固定・情緒固定あり
35.927773,139.680756,さいたま市立七里中学校,埼玉県さいたま市見沼区東宮下１－１－１,見沼区,中学校,公立,知的固定・情緒固定あり
35.925255,139.66745,さいたま市立大谷中学校,埼玉県さいたま市見沼区大谷１６３４－２,見沼区,中学校,公立,知的固定・情緒固定あり
35.918953,139.653427,さいたま市立大宮八幡中学校,埼玉県さいたま市見沼区南中丸３５７,見沼区,中学校,公立,知的固定・情緒固定あり
35.95631,139.663132,さいたま市立春野中学校,埼玉県さいたま市見沼区春野２－２－１,見沼区,中学校,公立,知的固定・情緒固定あり
35.887363,139.632156,さいたま市立与野東中学校,埼玉県さいたま市中央区下落合３－２１－１０,中央区,中学校,公立,知的固定・情緒固定あり
35.878342,139.624161,さいたま市立与野西中学校,埼玉県さいたま市中央区鈴谷８－１０－３３,中央区,中学校,公立,知的固定・情緒固定あり
35.86607,139.634491,さいたま市立与野南中学校,埼玉県さいたま市中央区大戸２－６－２５,中央区,中学校,公立,知的固定・情緒固定あり
35.878239,139.60849,さいたま市立八王子中学校,埼玉県さいたま市中央区八王子４－２－１,中央区,中学校,公立,知的固定・情緒固定あり
35.859814,139.623749,さいたま市立土合中学校,埼玉県さいたま市桜区町谷１－１９－１,桜区,中学校,公立,知的固定・情緒固定あり
35.867222,139.598022,さいたま市立大久保中学校,埼玉県さいたま市桜区五関２８２,桜区,中学校,公立,知的固定・情緒固定あり
35.839283,139.62294,さいたま市立田島中学校,埼玉県さいたま市桜区田島１０－１３－１,桜区,中学校,公立,知的固定・情緒固定あり
35.872456,139.615952,さいたま市立上大久保中学校,埼玉県さいたま市桜区上大久保８６１－１,桜区,中学校,公立,知的固定・情緒固定あり
35.877274,139.640579,さいたま市立常盤中学校,埼玉県さいたま市浦和区針ヶ谷４－１－９,浦和区,中学校,公立,知的固定・情緒固定あり
35.878555,139.660416,さいたま市立木崎中学校,埼玉県さいたま市浦和区瀬ヶ崎２－１７－１,浦和区,中学校,公立,知的固定・情緒固定あり
35.873505,139.659561,さいたま市立本太中学校,埼玉県さいたま市浦和区領家１－４－１５,浦和区,中学校,公立,知的固定・情緒固定あり
35.892303,139.648285,さいたま市立大原中学校,埼玉県さいたま市浦和区大原３－１－１１,浦和区,中学校,公立,知的固定・情緒固定あり
35.871677,139.656754,さいたま市立浦和中学校,埼玉県さいたま市浦和区元町１－２８－１７,浦和区,中学校,公立,知的固定あり（情緒固定なし）
35.850685,139.665115,さいたま市立岸中学校,埼玉県さいたま市南区南本町２－２５－２７,南区,中学校,公立,知的固定・情緒固定あり
35.8353,139.657593,さいたま市立南浦和中学校,埼玉県さいたま市南区辻６－１－３３,南区,中学校,公立,知的固定あり（情緒固定なし）
35.848907,139.652557,さいたま市立白幡中学校,埼玉県さいたま市南区白幡２－１８－１３,南区,中学校,公立,知的固定・情緒固定あり
35.852928,139.674103,さいたま市立大谷場中学校,埼玉県さいたま市南区大谷場２－１３－５４,南区,中学校,公立,知的固定・情緒固定あり
35.862751,139.683517,さいたま市立大谷口中学校,埼玉県さいたま市南区広ヶ谷戸２１,南区,中学校,公立,知的固定・情緒固定あり
35.836079,139.64769,さいたま市立内谷中学校,埼玉県さいたま市南区内谷６－１０－１,南区,中学校,公立,知的固定・情緒固定あり
35.86795,139.66713,さいたま市立原山中学校,埼玉県さいたま市緑区太田窪１－１０－２２,緑区,中学校,公立,知的固定・情緒固定あり
35.874668,139.68396,さいたま市立東浦和中学校,埼玉県さいたま市緑区中尾１２０７－１,緑区,中学校,公立,知的固定あり（情緒固定なし）
35.892498,139.712601,さいたま市立美園中学校,埼玉県さいたま市緑区大崎２５５０－３,緑区,中学校,公立,知的固定・情緒固定あり
35.887135,139.684219,さいたま市立三室中学校,埼玉県さいたま市緑区馬場１－３８－２,緑区,中学校,公立,知的固定・情緒固定あり
35.869366,139.698456,さいたま市立尾間木中学校,埼玉県さいたま市緑区東浦和４－２９－１,緑区,中学校,公立,知的固定・情緒固定あり
35.885689,139.736267,さいたま市立美園南中学校,埼玉県さいたま市緑区美園６－１５,緑区,中学校,公立,知的固定・情緒固定あり
35.948498,139.703613,さいたま市立岩槻中学校,埼玉県さいたま市岩槻区仲町１丁目１４－３５,岩槻区,中学校,公立,知的固定・情緒固定あり
35.947681,139.731949,さいたま市立川通中学校,埼玉県さいたま市岩槻区長宮４３５番地,岩槻区,中学校,公立,知的固定・情緒固定あり
35.9146,139.726883,さいたま市立城南中学校,埼玉県さいたま市岩槻区大字笹久保５７７番地,岩槻区,中学校,公立,知的固定・情緒固定あり
35.985207,139.705505,さいたま市立慈恩寺中学校,埼玉県さいたま市岩槻区大字裏慈恩寺５０５,岩槻区,中学校,公立,知的固定・情緒固定あり
35.965557,139.689545,さいたま市立城北中学校,埼玉県さいたま市岩槻区本宿３９２－１,岩槻区,中学校,公立,知的固定・情緒固定あり
35.972321,139.710419,さいたま市立桜山中学校,埼玉県さいたま市岩槻区表慈恩寺６８４－１,岩槻区,中学校,公立,知的固定・情緒固定あり
35.935406,139.703506,さいたま市立柏陽中学校,埼玉県さいたま市岩槻区大字真福寺４５４番地,岩槻区,中学校,公立,知的固定・情緒固定あり
35.955357,139.681519,さいたま市立西原中学校,埼玉県さいたま市岩槻区大字岩槻３７５０,岩槻区,中学校,公立,知的固定・情緒固定あり
35.926434,139.579208,埼玉栄中学校,埼玉県さいたま市西区西大宮３丁目１１番地１,西区,中学校,私立,
35.912548,139.643799,大宮開成中学校,埼玉県さいたま市大宮区堀の内町１－６１５,大宮区,中学校,私立,
35.946171,139.633621,栄東中学校,埼玉県さいたま市見沼区砂町２－７７,見沼区,中学校,私立,
35.897133,139.627457,淑徳与野中学校,埼玉県さいたま市中央区上落合５－１９－１８,中央区,中学校,私立,
35.83989,139.676956,浦和実業学園中学校,埼玉県さいたま市南区文蔵３－９－１,南区,中学校,私立,
35.869698,139.708038,浦和明の星女子中学校,埼玉県さいたま市緑区東浦和６－４－１９,緑区,中学校,私立,
35.887722,139.71698,青山学院大学系属浦和ルーテル学院中学校,埼玉県さいたま市緑区大字大崎３６４２,緑区,中学校,私立,
35.972153,139.714417,開智中学校,埼玉県さいたま市岩槻区徳力１８６,岩槻区,中学校,私立,
35.878254,139.650696,埼玉県立浦和高等学校,埼玉県さいたま市浦和区領家５－３－３,浦和区,高等学校,公立,
35.852985,139.659515,埼玉県立浦和第一女子高等学校,埼玉県さいたま市浦和区岸町３－８－４５,浦和区,高等学校,公立,
35.888409,139.654541,埼玉県立浦和西高等学校,埼玉県さいたま市浦和区木崎３－１－１,浦和区,高等学校,公立,
35.899437,139.638,埼玉県立大宮高等学校,埼玉県さいたま市大宮区天沼町２ー３２３,大宮区,高等学校,公立,
35.950489,139.704269,埼玉県立岩槻商業高等学校,埼玉県さいたま市岩槻区太田１－４－１,岩槻区,高等学校,公立,
35.884277,139.61792,埼玉県立与野高等学校,埼玉県さいたま市中央区本町西２－８－１,中央区,高等学校,公立,
35.850399,139.651733,埼玉県立浦和商業高等学校,埼玉県さいたま市南区白幡２－１９－３９,南区,高等学校,公立,
35.927193,139.645187,埼玉県立大宮商業高等学校,埼玉県さいたま市見沼区大和田町１丁目３５６番地,見沼区,高等学校,公立,
35.85339,139.627991,埼玉県立浦和工業高等学校,埼玉県さいたま市桜区西堀５－１－１,桜区,高等学校,公立,
35.894234,139.612717,埼玉県立いずみ高等学校,埼玉県さいたま市中央区円阿弥７－４－１,中央区,高等学校,公立,
35.947704,139.628357,埼玉県立大宮工業高等学校,埼玉県さいたま市北区本郷町１９７０番地,北区,高等学校,公立,
35.941727,139.704559,埼玉県立岩槻高等学校,埼玉県さいたま市岩槻区城南１－３－３８,岩槻区,高等学校,公立,
35.870735,139.61319,埼玉県立常盤高等学校,埼玉県さいたま市桜区上大久保５１９－１,桜区,高等学校,公立,
35.909317,139.560532,埼玉県立大宮武蔵野高等学校,埼玉県さいたま市西区西遊馬１６０１,西区,高等学校,公立,
35.866837,139.594162,埼玉県立浦和北高等学校,埼玉県さいたま市桜区五関５９５,桜区,高等学校,公立,
35.927101,139.685806,埼玉県立大宮東高等学校,埼玉県さいたま市見沼区膝子５６７,見沼区,高等学校,公立,
35.977409,139.711212,埼玉県立岩槻北陵高等学校,埼玉県さいたま市岩槻区慈恩寺１１７－２,岩槻区,高等学校,公立,
35.88871,139.589767,埼玉県立大宮南高等学校,埼玉県さいたま市西区植田谷本７９３,西区,高等学校,公立,
35.908676,139.707336,埼玉県立浦和東高等学校,埼玉県さいたま市緑区寺山３６５,緑区,高等学校,公立,
35.894855,139.589508,埼玉県立大宮光陵高等学校,埼玉県さいたま市西区中野林１４５,西区,高等学校,公立,
35.919998,139.60997,埼玉県立大宮中央高等学校,埼玉県さいたま市北区櫛引町２－４９９－１,北区,高等学校,公立,
35.871677,139.656754,さいたま市立浦和高等学校,埼玉県さいたま市浦和区元町１－２８－１７,浦和区,高等学校,公立,
35.945126,139.600967,さいたま市立大宮北高等学校,埼玉県さいたま市北区奈良町９１－１,北区,高等学校,公立,
35.832825,139.656631,さいたま市立浦和南高等学校,埼玉県さいたま市南区辻６－５－３１,南区,高等学校,公立,
35.926434,139.579208,埼玉栄高等学校,埼玉県さいたま市西区西大宮３丁目１１番地１,西区,高等学校,私立,
35.912548,139.643799,大宮開成高等学校,埼玉県さいたま市大宮区堀の内町１－６１５,大宮区,高等学校,私立,
35.903755,139.626831,松栄学園高等学校大宮分校,埼玉県さいたま市大宮区下町１－３５,大宮区,高等学校,私立,
35.946171,139.633621,栄東高等学校,埼玉県さいたま市見沼区砂町２－７７,見沼区,高等学校,私立,
35.897133,139.627457,淑徳与野高等学校,埼玉県さいたま市中央区上落合５－１９－１８,中央区,高等学校,私立,
35.854122,139.663086,浦和麗明高等学校,埼玉県さいたま市浦和区東岸町１０－３６,浦和区,高等学校,私立,
35.83989,139.676956,浦和実業学園高等学校,埼玉県さいたま市南区文蔵３－９－１,南区,高等学校,私立,
35.869698,139.708038,浦和明の星女子高等学校,埼玉県さいたま市緑区東浦和６－４－１９,緑区,高等学校,私立,
35.90176,139.706039,浦和学院高等学校,埼玉県さいたま市緑区代山１７２,緑区,高等学校,私立,
35.887722,139.71698,青山学院大学系属浦和ルーテル学院高等学校,埼玉県さいたま市緑区大崎３６４２,緑区,高等学校,私立,
35.972153,139.714417,開智高等学校,埼玉県さいたま市岩槻区徳力１８６,岩槻区,高等学校,私立,
35.895927,139.599442,さいたま市立大宮国際中等教育学校,埼玉県さいたま市大宮区三橋４－９６,大宮区,中等教育学校,公立,
35.925453,139.610992,埼玉大学教育学部附属特別支援学校,埼玉県さいたま市北区日進町２－４８０,北区,特別支援学校,国立,
35.93174,139.625961,埼玉県立特別支援学校大宮ろう学園,埼玉県さいたま市北区植竹町２－６８,北区,特別支援学校,公立,
35.881752,139.715973,埼玉県立浦和特別支援学校,埼玉県さいたま市緑区大崎５８,緑区,特別支援学校,公立,
35.943329,139.573715,埼玉県立大宮北特別支援学校,埼玉県さいたま市西区中釘２２９０－１,西区,特別支援学校,公立,
35.909317,139.560532,埼玉県立大宮北特別支援学校さいたま西分校,埼玉県さいたま市西区西遊馬１６０１,西区,特別支援学校,公立,
35.870735,139.61319,埼玉県立特別支援学校さいたま桜高等学園,埼玉県さいたま市桜区上大久保５１９－７,桜区,特別支援学校,公立,
35.891815,139.632233,埼玉県立けやき特別支援学校,埼玉県さいたま市中央区新都心１番地２,中央区,特別支援学校,公立,
35.969162,139.663055,埼玉県立岩槻はるかぜ特別支援学校,埼玉県さいたま市岩槻区馬込１１－２４２６－１,岩槻区,特別支援学校,公立,
35.927193,139.645187,埼玉県立上尾かしの木特別支援学校大宮商業分校,埼玉県さいたま市見沼区大和田町１－３５６,見沼区,特別支援学校,公立,
35.920925,139.590118,さいたま市立ひまわり特別支援学校,埼玉県さいたま市西区三橋６－１５８７,西区,特別支援学校,公立,
35.892044,139.673401,さいたま市立さくら草特別支援学校,埼玉県さいたま市緑区三室６３６－８０,緑区,特別支援学校,公立,
